NAME,B23025_002E,state,county,year
"Wheatland County, Montana",1009.0,30,107,2018
"Rosebud County, Montana",4222.0,30,087,2018
"Carter County, Montana",657.0,30,011,2018
"Dawson County, Montana",5002.0,30,021,2018
"Broadwater County, Montana",2862.0,30,007,2018
"Lake County, Montana",13101.0,30,047,2018
"Pondera County, Montana",2750.0,30,073,2018
"Yellowstone County, Montana",83828.0,30,111,2018
"Ravalli County, Montana",19140.0,30,081,2018
"Valley County, Montana",4033.0,30,105,2018
"Fergus County, Montana",5872.0,30,027,2018
"Mineral County, Montana",1723.0,30,061,2018
"Petroleum County, Montana",235.0,30,069,2018
"Sanders County, Montana",4422.0,30,089,2018
"Flathead County, Montana",49190.0,30,029,2018
"Wibaux County, Montana",579.0,30,109,2018
"Meagher County, Montana",997.0,30,059,2018
"Carbon County, Montana",5434.0,30,009,2018
"Phillips County, Montana",1850.0,30,071,2018
"Adams County, Nebraska",16494.0,31,001,2018
"Lancaster County, Nebraska",176024.0,31,109,2018
"Boone County, Nebraska",2912.0,31,011,2018
"Rock County, Nebraska",759.0,31,149,2018
"Banner County, Nebraska",410.0,31,007,2018
"Sherman County, Nebraska",1568.0,31,163,2018
"Richardson County, Nebraska",4152.0,31,147,2018
"Howard County, Nebraska",3443.0,31,093,2018
"Holt County, Nebraska",5721.0,31,089,2018
"Furnas County, Nebraska",2436.0,31,065,2018
"Gosper County, Nebraska",1134.0,31,073,2018
"Saline County, Nebraska",7311.0,31,151,2018
"Sarpy County, Nebraska",100285.0,31,153,2018
"Thurston County, Nebraska",3103.0,31,173,2018
"Washington County, Nebraska",10649.0,31,177,2018
"Boyd County, Nebraska",1017.0,31,015,2018
"Cherry County, Nebraska",3225.0,31,031,2018
"Dodge County, Nebraska",19632.0,31,053,2018
"Fillmore County, Nebraska",2875.0,31,059,2018
"Garden County, Nebraska",893.0,31,069,2018
"Hooker County, Nebraska",283.0,31,091,2018
"Morrill County, Nebraska",2526.0,31,123,2018
"Nemaha County, Nebraska",3564.0,31,127,2018
"Seward County, Nebraska",9140.0,31,159,2018
"Thomas County, Nebraska",362.0,31,171,2018
"Dakota County, Nebraska",10863.0,31,043,2018
"Webster County, Nebraska",1776.0,31,181,2018
"Antelope County, Nebraska",3301.0,31,003,2018
"Butler County, Nebraska",4324.0,31,023,2018
"Clay County, Nebraska",3135.0,31,035,2018
"Custer County, Nebraska",5683.0,31,041,2018
"Gage County, Nebraska",11399.0,31,067,2018
"Hamilton County, Nebraska",5007.0,31,081,2018
"Kearney County, Nebraska",3520.0,31,099,2018
"Keith County, Nebraska",4302.0,31,101,2018
"Madison County, Nebraska",19105.0,31,119,2018
"Perkins County, Nebraska",1514.0,31,135,2018
"Saunders County, Nebraska",11223.0,31,155,2018
"Wayne County, Nebraska",5569.0,31,179,2018
"Keya Paha County, Nebraska",457.0,31,103,2018
"Knox County, Nebraska",4390.0,31,107,2018
"Lincoln County, Nebraska",17746.0,31,111,2018
"Pierce County, Nebraska",3880.0,31,139,2018
"Sioux County, Nebraska",665.0,31,165,2018
"Cass County, Nebraska",13763.0,31,025,2018
"Dixon County, Nebraska",3041.0,31,051,2018
"Dundy County, Nebraska",954.0,31,057,2018
"Greeley County, Nebraska",1207.0,31,077,2018
"Hall County, Nebraska",32933.0,31,079,2018
"Otoe County, Nebraska",8467.0,31,131,2018
"Red Willow County, Nebraska",5915.0,31,145,2018
"Dawes County, Nebraska",4647.0,31,045,2018
"Cheyenne County, Nebraska",5507.0,31,033,2018
"Dawson County, Nebraska",12676.0,31,047,2018
"Valley County, Nebraska",2253.0,31,175,2018
"McPherson County, Nebraska",222.0,31,117,2018
"Nance County, Nebraska",1820.0,31,125,2018
"Stanton County, Nebraska",3290.0,31,167,2018
"Harlan County, Nebraska",1670.0,31,083,2018
"Blaine County, Nebraska",264.0,31,009,2018
"Buffalo County, Nebraska",28549.0,31,019,2018
"Deuel County, Nebraska",975.0,31,049,2018
"Hitchcock County, Nebraska",1371.0,31,087,2018
"Platte County, Nebraska",18424.0,31,141,2018
"Thayer County, Nebraska",2635.0,31,169,2018
"Box Butte County, Nebraska",5622.0,31,013,2018
"Churchill County, Nevada",10804.0,32,001,2018
"Douglas County, Nevada",22111.0,32,005,2018
"Pershing County, Nevada",2174.0,32,027,2018
"Esmeralda County, Nevada",395.0,32,009,2018
"Humboldt County, Nevada",9023.0,32,013,2018
"Mineral County, Nevada",2032.0,32,021,2018
"White Pine County, Nevada",3802.0,32,033,2018
"Elko County, Nevada",27425.0,32,007,2018
"Lincoln County, Nevada",1994.0,32,017,2018
"Nye County, Nevada",16289.0,32,023,2018
"Storey County, Nevada",1767.0,32,029,2018
"Washoe County, Nevada",239557.0,32,031,2018
"Clark County, Nevada",1088151.0,32,003,2018
"Carson City, Nevada",26781.0,32,510,2018
"Lyon County, Nevada",24153.0,32,019,2018
"Cheshire County, New Hampshire",41761.0,33,005,2018
"Merrimack County, New Hampshire",82234.0,33,013,2018
"Grafton County, New Hampshire",48362.0,33,009,2018
"Rockingham County, New Hampshire",180767.0,33,015,2018
"Belknap County, New Hampshire",32486.0,33,001,2018
"Sullivan County, New Hampshire",22141.0,33,019,2018
"Hillsborough County, New Hampshire",235326.0,33,011,2018
"Strafford County, New Hampshire",73152.0,33,017,2018
"Coos County, New Hampshire",15451.0,33,007,2018
"Carroll County, New Hampshire",24559.0,33,003,2018
"Monmouth County, New Jersey",333518.0,34,025,2018
"Sussex County, New Jersey",80059.0,34,037,2018
"Cumberland County, New Jersey",67897.0,34,011,2018
"Essex County, New Jersey",411611.0,34,013,2018
"Ocean County, New Jersey",272945.0,34,029,2018
"Gloucester County, New Jersey",157708.0,34,015,2018
"Salem County, New Jersey",31689.0,34,033,2018
"Passaic County, New Jersey",251608.0,34,031,2018
"Camden County, New Jersey",266763.0,34,007,2018
"Bergen County, New Jersey",498649.0,34,003,2018
"Warren County, New Jersey",58928.0,34,041,2018
"Hudson County, New Jersey",375306.0,34,017,2018
"Burlington County, New Jersey",242130.0,34,005,2018
"Morris County, New Jersey",274606.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",10375.0,35,047,2018
"Torrance County, New Mexico",6028.0,35,057,2018
"Otero County, New Mexico",28379.0,35,035,2018
"Cibola County, New Mexico",11293.0,35,006,2018
"Guadalupe County, New Mexico",1399.0,35,019,2018
"Catron County, New Mexico",842.0,35,003,2018
"Grant County, New Mexico",11349.0,35,017,2018
"Luna County, New Mexico",8703.0,35,029,2018
"McKinley County, New Mexico",28027.0,35,031,2018
"Taos County, New Mexico",14925.0,35,055,2018
"Colfax County, New Mexico",5223.0,35,007,2018
"Eddy County, New Mexico",27377.0,35,015,2018
"Mora County, New Mexico",1510.0,35,033,2018
"Quay County, New Mexico",3032.0,35,037,2018
"Lincoln County, New Mexico",7291.0,35,027,2018
"Lea County, New Mexico",30650.0,35,025,2018
"Santa Fe County, New Mexico",74009.0,35,049,2018
"Sierra County, New Mexico",4063.0,35,051,2018
"Socorro County, New Mexico",5857.0,35,053,2018
"Doña Ana County, New Mexico",97233.0,35,013,2018
"Schoharie County, New York",15390.0,36,095,2018
"Onondaga County, New York",235381.0,36,067,2018
"Clinton County, New York",37903.0,36,019,2018
"Seneca County, New York",16136.0,36,099,2018
"Putnam County, New York",53932.0,36,079,2018
"Franklin County, New York",21765.0,36,033,2018
"Ontario County, New York",56731.0,36,069,2018
"Queens County, New York",1206521.0,36,081,2018
"Steuben County, New York",46022.0,36,101,2018
"Hamilton County, New York",2120.0,36,041,2018
"Washington County, New York",30293.0,36,115,2018
"Chautauqua County, New York",60185.0,36,013,2018
"Kings County, New York",1309854.0,36,047,2018
"New York County, New York",951766.0,36,061,2018
"Tioga County, New York",24634.0,36,107,2018
"Cayuga County, New York",38590.0,36,011,2018
"Orleans County, New York",19160.0,36,073,2018
"Saratoga County, New York",125097.0,36,091,2018
"Rockland County, New York",157093.0,36,087,2018
"Columbia County, New York",31096.0,36,021,2018
"Lewis County, New York",12752.0,36,049,2018
"Niagara County, New York",106548.0,36,063,2018
"Westchester County, New York",509611.0,36,119,2018
"Delaware County, New York",21304.0,36,025,2018
"Essex County, New York",18378.0,36,031,2018
"Montgomery County, New York",23357.0,36,057,2018
"Nassau County, New York",715209.0,36,059,2018
"Richmond County, New York",222440.0,36,085,2018
"Schuyler County, New York",8893.0,36,097,2018
"Tompkins County, New York",52688.0,36,109,2018
"Chenango County, New York",23263.0,36,017,2018
"Cortland County, New York",24648.0,36,023,2018
"Jefferson County, New York",57586.0,36,045,2018
"Oneida County, New York",108640.0,36,065,2018
"Suffolk County, New York",782446.0,36,103,2018
"Wyoming County, New York",19726.0,36,121,2018
"Chemung County, New York",39260.0,36,015,2018
"Oswego County, New York",58045.0,36,075,2018
"Otsego County, New York",30110.0,36,077,2018
"Wayne County, New York",46573.0,36,117,2018
"Albany County, New York",168148.0,36,001,2018
"Broome County, New York",93394.0,36,007,2018
"Erie County, New York",472206.0,36,029,2018
"Madison County, New York",35418.0,36,053,2018
"Sullivan County, New York",35615.0,36,105,2018
"Mitchell County, North Carolina",6544.0,37,121,2018
"Genesee County, New York",31368.0,36,037,2018
"Orange County, New York",187618.0,36,071,2018
"Greene County, North Carolina",8981.0,37,079,2018
"Chowan County, North Carolina",6048.0,37,041,2018
"Caldwell County, North Carolina",38821.0,37,027,2018
"Catawba County, North Carolina",78521.0,37,035,2018
"Craven County, North Carolina",50689.0,37,049,2018
"Edgecombe County, North Carolina",23641.0,37,065,2018
"Harnett County, North Carolina",59423.0,37,085,2018
"Henderson County, North Carolina",53384.0,37,089,2018
"Hyde County, North Carolina",2215.0,37,095,2018
"Mecklenburg County, North Carolina",588800.0,37,119,2018
"Northampton County, North Carolina",7774.0,37,131,2018
"Rowan County, North Carolina",66646.0,37,159,2018
"Vance County, North Carolina",20511.0,37,181,2018
"Currituck County, North Carolina",12936.0,37,053,2018
"Union County, North Carolina",116292.0,37,179,2018
"Forsyth County, North Carolina",181746.0,37,067,2018
"Nash County, North Carolina",46259.0,37,127,2018
"Bladen County, North Carolina",13783.0,37,017,2018
"Dare County, North Carolina",19155.0,37,055,2018
"Warren County, North Carolina",8023.0,37,185,2018
"Wilson County, North Carolina",38236.0,37,195,2018
"Bertie County, North Carolina",8486.0,37,015,2018
"Gates County, North Carolina",5594.0,37,073,2018
"Graham County, North Carolina",3416.0,37,075,2018
"Martin County, North Carolina",10415.0,37,117,2018
"Madison County, North Carolina",10084.0,37,115,2018
"Pamlico County, North Carolina",5227.0,37,137,2018
"Perquimans County, North Carolina",5769.0,37,143,2018
"Polk County, North Carolina",9114.0,37,149,2018
"Randolph County, North Carolina",69513.0,37,151,2018
"Rockingham County, North Carolina",42071.0,37,157,2018
