NAME,B19113C_001E,state,county,year
"Blue Earth County, Minnesota",70000.0,27,013,2018
"Houston County, Minnesota",-666666666.0,27,055,2018
"Lac qui Parle County, Minnesota",-666666666.0,27,073,2018
"Lake of the Woods County, Minnesota",-666666666.0,27,077,2018
"Otter Tail County, Minnesota",56250.0,27,111,2018
"Waseca County, Minnesota",-666666666.0,27,161,2018
"St. Louis County, Minnesota",35500.0,27,137,2018
"Anoka County, Minnesota",76250.0,27,003,2018
"Stearns County, Minnesota",50852.0,27,145,2018
"Lincoln County, Minnesota",-666666666.0,27,081,2018
"Marshall County, Minnesota",-666666666.0,27,089,2018
"Mille Lacs County, Minnesota",39286.0,27,095,2018
"Washington County, Minnesota",-666666666.0,27,163,2018
"Carlton County, Minnesota",40294.0,27,017,2018
"Kanabec County, Minnesota",71250.0,27,065,2018
"Koochiching County, Minnesota",32750.0,27,071,2018
"Red Lake County, Minnesota",26250.0,27,125,2018
"Morrison County, Minnesota",-666666666.0,27,097,2018
"Rice County, Minnesota",92813.0,27,131,2018
"Steele County, Minnesota",-666666666.0,27,147,2018
"Aitkin County, Minnesota",39750.0,27,001,2018
