NAME,B19113A_001E,state,county,year
"Rock County, Nebraska",65250.0,31,149,2018
"Banner County, Nebraska",64545.0,31,007,2018
"Sherman County, Nebraska",69120.0,31,163,2018
"Richardson County, Nebraska",64055.0,31,147,2018
"Howard County, Nebraska",71824.0,31,093,2018
"Holt County, Nebraska",71377.0,31,089,2018
"Furnas County, Nebraska",62964.0,31,065,2018
"Gosper County, Nebraska",82054.0,31,073,2018
"Saline County, Nebraska",62652.0,31,151,2018
"Sarpy County, Nebraska",94132.0,31,153,2018
"Thurston County, Nebraska",72083.0,31,173,2018
"Washington County, Nebraska",86402.0,31,177,2018
"Boyd County, Nebraska",65000.0,31,015,2018
"Cherry County, Nebraska",63168.0,31,031,2018
"Dodge County, Nebraska",63247.0,31,053,2018
"Fillmore County, Nebraska",76389.0,31,059,2018
"Garden County, Nebraska",64044.0,31,069,2018
"Hooker County, Nebraska",59167.0,31,091,2018
"Morrill County, Nebraska",58419.0,31,123,2018
"Nemaha County, Nebraska",66639.0,31,127,2018
"Seward County, Nebraska",83530.0,31,159,2018
"Thomas County, Nebraska",75795.0,31,171,2018
"Dakota County, Nebraska",68116.0,31,043,2018
"Webster County, Nebraska",61726.0,31,181,2018
"Antelope County, Nebraska",61635.0,31,003,2018
"Butler County, Nebraska",67878.0,31,023,2018
"Clay County, Nebraska",70089.0,31,035,2018
"Custer County, Nebraska",56369.0,31,041,2018
"Gage County, Nebraska",69402.0,31,067,2018
"Hamilton County, Nebraska",78214.0,31,081,2018
"Kearney County, Nebraska",76899.0,31,099,2018
"Keith County, Nebraska",63934.0,31,101,2018
"Madison County, Nebraska",70830.0,31,119,2018
"Perkins County, Nebraska",76979.0,31,135,2018
"Saunders County, Nebraska",80423.0,31,155,2018
"Wayne County, Nebraska",77983.0,31,179,2018
"Keya Paha County, Nebraska",55250.0,31,103,2018
"Knox County, Nebraska",67750.0,31,107,2018
"Lincoln County, Nebraska",73311.0,31,111,2018
"Pierce County, Nebraska",71300.0,31,139,2018
"Sioux County, Nebraska",51042.0,31,165,2018
"Cass County, Nebraska",86160.0,31,025,2018
"Dixon County, Nebraska",67161.0,31,051,2018
"Dundy County, Nebraska",59167.0,31,057,2018
"Greeley County, Nebraska",60455.0,31,077,2018
"Hall County, Nebraska",67968.0,31,079,2018
"Otoe County, Nebraska",73596.0,31,131,2018
"Red Willow County, Nebraska",57204.0,31,145,2018
"Dawes County, Nebraska",67577.0,31,045,2018
"Cheyenne County, Nebraska",77651.0,31,033,2018
"Dawson County, Nebraska",63580.0,31,047,2018
"Valley County, Nebraska",69744.0,31,175,2018
"McPherson County, Nebraska",69250.0,31,117,2018
"Nance County, Nebraska",59342.0,31,125,2018
"Stanton County, Nebraska",75389.0,31,167,2018
"Harlan County, Nebraska",64612.0,31,083,2018
"Blaine County, Nebraska",54732.0,31,009,2018
"Buffalo County, Nebraska",79362.0,31,019,2018
"Deuel County, Nebraska",59792.0,31,049,2018
"Hitchcock County, Nebraska",56625.0,31,087,2018
"Platte County, Nebraska",78554.0,31,141,2018
"Thayer County, Nebraska",64756.0,31,169,2018
"Box Butte County, Nebraska",73214.0,31,013,2018
"Churchill County, Nevada",74263.0,32,001,2018
"Douglas County, Nevada",76735.0,32,005,2018
"Pershing County, Nevada",62647.0,32,027,2018
"Esmeralda County, Nevada",44167.0,32,009,2018
"Humboldt County, Nevada",81190.0,32,013,2018
"Mineral County, Nevada",59167.0,32,021,2018
"White Pine County, Nevada",74180.0,32,033,2018
"Elko County, Nevada",91360.0,32,007,2018
"Lincoln County, Nevada",64278.0,32,017,2018
"Nye County, Nevada",57283.0,32,023,2018
"Storey County, Nevada",69952.0,32,029,2018
"Washoe County, Nevada",78998.0,32,031,2018
"Clark County, Nevada",73629.0,32,003,2018
"Carson City, Nevada",71535.0,32,510,2018
"Lyon County, Nevada",66910.0,32,019,2018
"Cheshire County, New Hampshire",80196.0,33,005,2018
"Merrimack County, New Hampshire",90552.0,33,013,2018
"Grafton County, New Hampshire",80510.0,33,009,2018
"Rockingham County, New Hampshire",108296.0,33,015,2018
"Belknap County, New Hampshire",83020.0,33,001,2018
"Sullivan County, New Hampshire",74875.0,33,019,2018
"Hillsborough County, New Hampshire",97125.0,33,011,2018
"Strafford County, New Hampshire",89484.0,33,017,2018
"Coos County, New Hampshire",60992.0,33,007,2018
"Carroll County, New Hampshire",71639.0,33,003,2018
"Monmouth County, New Jersey",124535.0,34,025,2018
"Sussex County, New Jersey",105943.0,34,037,2018
"Cumberland County, New Jersey",67486.0,34,011,2018
"Essex County, New Jersey",119437.0,34,013,2018
"Ocean County, New Jersey",86232.0,34,029,2018
"Gloucester County, New Jersey",106393.0,34,015,2018
"Salem County, New Jersey",93211.0,34,033,2018
"Passaic County, New Jersey",95185.0,34,031,2018
"Camden County, New Jersey",97452.0,34,007,2018
"Bergen County, New Jersey",122436.0,34,003,2018
"Warren County, New Jersey",99756.0,34,041,2018
"Hudson County, New Jersey",72798.0,34,017,2018
"Burlington County, New Jersey",107035.0,34,005,2018
"Morris County, New Jersey",138581.0,34,027,2018
"Rio Arriba County, New Mexico",,35,039,2018
"San Miguel County, New Mexico",46872.0,35,047,2018
"Torrance County, New Mexico",52630.0,35,057,2018
"Otero County, New Mexico",54893.0,35,035,2018
"Cibola County, New Mexico",54295.0,35,006,2018
"Guadalupe County, New Mexico",39659.0,35,019,2018
"Catron County, New Mexico",50143.0,35,003,2018
"Grant County, New Mexico",53362.0,35,017,2018
"Luna County, New Mexico",41954.0,35,029,2018
"McKinley County, New Mexico",65785.0,35,031,2018
"Taos County, New Mexico",48638.0,35,055,2018
"Colfax County, New Mexico",51120.0,35,007,2018
"Eddy County, New Mexico",71012.0,35,015,2018
"Mora County, New Mexico",28712.0,35,033,2018
"Quay County, New Mexico",39573.0,35,037,2018
"Lincoln County, New Mexico",56458.0,35,027,2018
"Lea County, New Mexico",64928.0,35,025,2018
"Santa Fe County, New Mexico",73472.0,35,049,2018
"Sierra County, New Mexico",42787.0,35,051,2018
"Socorro County, New Mexico",48093.0,35,053,2018
"Doña Ana County, New Mexico",49010.0,35,013,2018
"Schoharie County, New York",68048.0,36,095,2018
"Onondaga County, New York",84016.0,36,067,2018
"Clinton County, New York",70931.0,36,019,2018
"Seneca County, New York",68478.0,36,099,2018
"Putnam County, New York",120951.0,36,079,2018
"Franklin County, New York",63774.0,36,033,2018
"Ontario County, New York",82990.0,36,069,2018
"Queens County, New York",82608.0,36,081,2018
"Steuben County, New York",62774.0,36,101,2018
"Hamilton County, New York",68400.0,36,041,2018
"Washington County, New York",65064.0,36,115,2018
"Chautauqua County, New York",60553.0,36,013,2018
"Kings County, New York",82152.0,36,047,2018
