NAME,B19301D_001E,state,county,year
"Meagher County, Montana",-666666666.0,30,059,2018
"Carbon County, Montana",38214.0,30,009,2018
"Phillips County, Montana",,30,071,2018
"Adams County, Nebraska",16765.0,31,001,2018
"Lancaster County, Nebraska",23993.0,31,109,2018
"Boone County, Nebraska",,31,011,2018
"Rock County, Nebraska",-666666666.0,31,149,2018
"Banner County, Nebraska",-666666666.0,31,007,2018
"Sherman County, Nebraska",6542.0,31,163,2018
"Richardson County, Nebraska",,31,147,2018
"Howard County, Nebraska",42131.0,31,093,2018
"Holt County, Nebraska",60145.0,31,089,2018
"Furnas County, Nebraska",,31,065,2018
"Gosper County, Nebraska",,31,073,2018
"Saline County, Nebraska",10656.0,31,151,2018
"Sarpy County, Nebraska",28478.0,31,153,2018
"Thurston County, Nebraska",9767.0,31,173,2018
"Washington County, Nebraska",28495.0,31,177,2018
"Boyd County, Nebraska",,31,015,2018
"Cherry County, Nebraska",,31,031,2018
"Dodge County, Nebraska",14991.0,31,053,2018
"Fillmore County, Nebraska",58476.0,31,059,2018
"Garden County, Nebraska",-666666666.0,31,069,2018
"Hooker County, Nebraska",-666666666.0,31,091,2018
"Morrill County, Nebraska",,31,123,2018
"Nemaha County, Nebraska",39729.0,31,127,2018
"Seward County, Nebraska",9560.0,31,159,2018
"Thomas County, Nebraska",-666666666.0,31,171,2018
"Dakota County, Nebraska",12044.0,31,043,2018
"Webster County, Nebraska",-666666666.0,31,181,2018
"Antelope County, Nebraska",,31,003,2018
"Butler County, Nebraska",33164.0,31,023,2018
"Clay County, Nebraska",,31,035,2018
"Custer County, Nebraska",17735.0,31,041,2018
"Gage County, Nebraska",15614.0,31,067,2018
"Hamilton County, Nebraska",,31,081,2018
"Kearney County, Nebraska",4833.0,31,099,2018
"Keith County, Nebraska",10695.0,31,101,2018
"Madison County, Nebraska",43217.0,31,119,2018
"Perkins County, Nebraska",-666666666.0,31,135,2018
"Saunders County, Nebraska",37348.0,31,155,2018
"Wayne County, Nebraska",15654.0,31,179,2018
"Keya Paha County, Nebraska",-666666666.0,31,103,2018
"Knox County, Nebraska",12770.0,31,107,2018
"Lincoln County, Nebraska",28940.0,31,111,2018
"Pierce County, Nebraska",4553.0,31,139,2018
"Sioux County, Nebraska",,31,165,2018
"Cass County, Nebraska",30175.0,31,025,2018
"Dixon County, Nebraska",,31,051,2018
"Dundy County, Nebraska",-666666666.0,31,057,2018
"Greeley County, Nebraska",17390.0,31,077,2018
"Hall County, Nebraska",39824.0,31,079,2018
"Otoe County, Nebraska",,31,131,2018
"Red Willow County, Nebraska",30605.0,31,145,2018
