NAME,B19301I_001E,state,county,year
"Slope County, North Dakota",-666666666.0,38,087,2018
"Stark County, North Dakota",20463.0,38,089,2018
"Gallia County, Ohio",19407.0,39,053,2018
"Huron County, Ohio",16083.0,39,077,2018
"Athens County, Ohio",10219.0,39,009,2018
"Adams County, Ohio",14136.0,39,001,2018
"Medina County, Ohio",22872.0,39,103,2018
"Union County, Ohio",28509.0,39,159,2018
"Champaign County, Ohio",20941.0,39,021,2018
"Paulding County, Ohio",17797.0,39,125,2018
"Greene County, Ohio",30575.0,39,057,2018
"Franklin County, Ohio",17779.0,39,049,2018
"Marion County, Ohio",7760.0,39,101,2018
"Morgan County, Ohio",18388.0,39,115,2018
"Wayne County, Ohio",17878.0,39,169,2018
"Wyandot County, Ohio",14585.0,39,175,2018
"Butler County, Ohio",17537.0,39,017,2018
"Harrison County, Ohio",29382.0,39,067,2018
"Knox County, Ohio",17565.0,39,083,2018
"Richland County, Ohio",8818.0,39,139,2018
"Vinton County, Ohio",14879.0,39,163,2018
"Hancock County, Ohio",19978.0,39,063,2018
"Fairfield County, Ohio",21981.0,39,045,2018
"Defiance County, Ohio",21304.0,39,039,2018
"Henry County, Ohio",17885.0,39,069,2018
"Jefferson County, Ohio",8221.0,39,081,2018
"Putnam County, Ohio",15626.0,39,137,2018
"Clinton County, Ohio",21199.0,39,027,2018
"Fayette County, Ohio",16110.0,39,047,2018
"Pickaway County, Ohio",13191.0,39,129,2018
"Logan County, Ohio",21110.0,39,091,2018
"Summit County, Ohio",21687.0,39,153,2018
"Sandusky County, Ohio",17923.0,39,143,2018
"Shelby County, Ohio",18828.0,39,149,2018
"Cottonwood County, Minnesota",9168.0,27,033,2018
"Scott County, Minnesota",18779.0,27,139,2018
"Dodge County, Minnesota",14429.0,27,039,2018
"Wabasha County, Minnesota",14381.0,27,157,2018
"Pipestone County, Minnesota",8855.0,27,117,2018
"Crow Wing County, Minnesota",18700.0,27,035,2018
"Norman County, Minnesota",14751.0,27,107,2018
"Wright County, Minnesota",17185.0,27,171,2018
"Nicollet County, Minnesota",16071.0,27,103,2018
"Douglas County, Minnesota",19086.0,27,041,2018
"Grant County, Minnesota",25857.0,27,051,2018
"Kittson County, Minnesota",19279.0,27,069,2018
"Le Sueur County, Minnesota",13470.0,27,079,2018
"Mahnomen County, Minnesota",5228.0,27,087,2018
"Chisago County, Minnesota",19286.0,27,025,2018
"Redwood County, Minnesota",11847.0,27,127,2018
"Yellow Medicine County, Minnesota",13873.0,27,173,2018
"Todd County, Minnesota",13282.0,27,153,2018
"Beltrami County, Minnesota",12311.0,27,007,2018
"Blue Earth County, Minnesota",17415.0,27,013,2018
"Houston County, Minnesota",16281.0,27,055,2018
"Lac qui Parle County, Minnesota",13623.0,27,073,2018
"Lake of the Woods County, Minnesota",19041.0,27,077,2018
"Otter Tail County, Minnesota",16493.0,27,111,2018
"Waseca County, Minnesota",21126.0,27,161,2018
"St. Louis County, Minnesota",14907.0,27,137,2018
"Anoka County, Minnesota",19149.0,27,003,2018
"Stearns County, Minnesota",14886.0,27,145,2018
"Lincoln County, Minnesota",10677.0,27,081,2018
"Marshall County, Minnesota",13758.0,27,089,2018
"Mille Lacs County, Minnesota",13866.0,27,095,2018
"Washington County, Minnesota",25412.0,27,163,2018
"Carlton County, Minnesota",10408.0,27,017,2018
"Kanabec County, Minnesota",9858.0,27,065,2018
"Koochiching County, Minnesota",19895.0,27,071,2018
"Red Lake County, Minnesota",14844.0,27,125,2018
"Morrison County, Minnesota",14932.0,27,097,2018
"Rice County, Minnesota",13674.0,27,131,2018
"Steele County, Minnesota",16880.0,27,147,2018
"Aitkin County, Minnesota",13208.0,27,001,2018
"Faribault County, Minnesota",21038.0,27,043,2018
"Murray County, Minnesota",12850.0,27,101,2018
"Kandiyohi County, Minnesota",14264.0,27,067,2018
"Lake County, Minnesota",38534.0,27,075,2018
"Rock County, Minnesota",36535.0,27,133,2018
"Sibley County, Minnesota",13342.0,27,143,2018
"Traverse County, Minnesota",11852.0,27,155,2018
"Becker County, Minnesota",11194.0,27,005,2018
"Hennepin County, Minnesota",18638.0,27,053,2018
"Brown County, Minnesota",14355.0,27,015,2018
"Chippewa County, Minnesota",16854.0,27,023,2018
"Clearwater County, Minnesota",15370.0,27,029,2018
"Hubbard County, Minnesota",18129.0,27,057,2018
"Isanti County, Minnesota",16479.0,27,059,2018
"Martin County, Minnesota",19202.0,27,091,2018
"Mower County, Minnesota",14548.0,27,099,2018
"Pine County, Minnesota",12171.0,27,115,2018
"Olmsted County, Minnesota",21709.0,27,109,2018
"Wadena County, Minnesota",11901.0,27,159,2018
"Benton County, Minnesota",16069.0,27,009,2018
"Freeborn County, Minnesota",12751.0,27,047,2018
"McLeod County, Minnesota",11539.0,27,085,2018
"Pope County, Minnesota",14009.0,27,121,2018
"Stevens County, Minnesota",15141.0,27,149,2018
"Swift County, Minnesota",14743.0,27,151,2018
"Holmes County, Mississippi",7135.0,28,051,2018
"Amite County, Mississippi",-666666666.0,28,005,2018
"Calhoun County, Mississippi",8526.0,28,013,2018
"Tishomingo County, Mississippi",8762.0,28,141,2018
"Wayne County, Mississippi",19417.0,28,153,2018
