NAME,B19301B_001E,state,county,year
"Richland County, Montana",-666666666.0,30,083,2018
"Teton County, Montana",,30,099,2018
"Toole County, Montana",,30,101,2018
"Fallon County, Montana",,30,025,2018
"Daniels County, Montana",-666666666.0,30,019,2018
"Judith Basin County, Montana",-666666666.0,30,045,2018
"Silver Bow County, Montana",11567.0,30,093,2018
"Deer Lodge County, Montana",23356.0,30,023,2018
"Jefferson County, Montana",,30,043,2018
"McCone County, Montana",-666666666.0,30,055,2018
"Wheatland County, Montana",-666666666.0,30,107,2018
"Rosebud County, Montana",,30,087,2018
"Carter County, Montana",-666666666.0,30,011,2018
"Dawson County, Montana",6844.0,30,021,2018
"Broadwater County, Montana",,30,007,2018
"Lake County, Montana",19421.0,30,047,2018
"Pondera County, Montana",8527.0,30,073,2018
"Yellowstone County, Montana",18991.0,30,111,2018
"Ravalli County, Montana",,30,081,2018
"Valley County, Montana",,30,105,2018
"Fergus County, Montana",,30,027,2018
"Mineral County, Montana",,30,061,2018
"Petroleum County, Montana",-666666666.0,30,069,2018
"Sanders County, Montana",,30,089,2018
"Flathead County, Montana",25821.0,30,029,2018
"Wibaux County, Montana",-666666666.0,30,109,2018
"Meagher County, Montana",-666666666.0,30,059,2018
"Carbon County, Montana",36666.0,30,009,2018
"Phillips County, Montana",-666666666.0,30,071,2018
"Adams County, Nebraska",9234.0,31,001,2018
"Lancaster County, Nebraska",17202.0,31,109,2018
"Boone County, Nebraska",49268.0,31,011,2018
"Rock County, Nebraska",,31,149,2018
"Banner County, Nebraska",-666666666.0,31,007,2018
"Sherman County, Nebraska",-666666666.0,31,163,2018
"Richardson County, Nebraska",58541.0,31,147,2018
"Howard County, Nebraska",6658.0,31,093,2018
"Holt County, Nebraska",,31,089,2018
"Furnas County, Nebraska",,31,065,2018
"Gosper County, Nebraska",,31,073,2018
"Saline County, Nebraska",15201.0,31,151,2018
"Sarpy County, Nebraska",33302.0,31,153,2018
"Thurston County, Nebraska",10368.0,31,173,2018
"Washington County, Nebraska",20803.0,31,177,2018
"Boyd County, Nebraska",,31,015,2018
"Cherry County, Nebraska",,31,031,2018
"Dodge County, Nebraska",9741.0,31,053,2018
"Fillmore County, Nebraska",10997.0,31,059,2018
"Garden County, Nebraska",,31,069,2018
"Hooker County, Nebraska",,31,091,2018
"Morrill County, Nebraska",,31,123,2018
"Nemaha County, Nebraska",13692.0,31,127,2018
"Seward County, Nebraska",18112.0,31,159,2018
"Thomas County, Nebraska",-666666666.0,31,171,2018
"Dakota County, Nebraska",16053.0,31,043,2018
"Webster County, Nebraska",,31,181,2018
"Antelope County, Nebraska",12685.0,31,003,2018
"Butler County, Nebraska",,31,023,2018
