index,state,county,year,population,White,Black,American_Indian,Asian,Native_Hawaian,Other,White-Black,White-AI,White-Asian,Black-AI,All-other-two,Three,Four,Median_Income,Whole Foods Market Count,Wendy's Count,Trader Joe's Count,C-Town Count,ALDI Count,Burger King Count
375,Florida,Okaloosa County,2010,"180,715",149733.0,16908.0,1251.0,5633.0,35.0,2527.0,1587.0,1075.0,1546.0,50.0,1345.0,386.0,0.0,54242.0,,,,,,
376,Florida,Okeechobee County,2010,"40,025",34014.0,3107.0,298.0,362.0,0.0,1311.0,265.0,239.0,32.0,0.0,120.0,135.0,0.0,38339.0,,,,,,
377,Florida,Orange County,2010,"1,148,564",717711.0,226111.0,3560.0,53326.0,1547.0,85645.0,7335.0,3025.0,4672.0,595.0,11174.0,1393.0,0.0,50138.0,,,,,,
378,Florida,Osceola County,2010,"269,837",191793.0,28224.0,594.0,7090.0,283.0,20727.0,4084.0,776.0,1067.0,94.0,3433.0,349.0,17.0,46328.0,,,,,,
379,Florida,Palm Beach County,2010,"1,323,619",971148.0,218649.0,2772.0,29536.0,674.0,57740.0,4737.0,2812.0,3754.0,633.0,5899.0,965.0,37.0,53242.0,5.0,33.0,5.0,,10.0,33.0
380,Florida,Pasco County,2010,"465,487",411709.0,18549.0,1187.0,9749.0,158.0,7406.0,2355.0,2095.0,844.0,182.0,1683.0,597.0,0.0,44228.0,,,,,,
381,Florida,Pinellas County,2010,"916,412",769296.0,93342.0,2028.0,27616.0,801.0,9972.0,4265.0,3580.0,2644.0,499.0,3232.0,963.0,25.0,45258.0,,,,,,
382,Florida,Polk County,2010,"603,102",456933.0,84564.0,2123.0,9264.0,348.0,25644.0,4564.0,1919.0,1219.0,299.0,2625.0,592.0,22.0,43946.0,,,,,,
383,Florida,Putnam County,2010,"74,220",58863.0,12294.0,389.0,518.0,0.0,1758.0,359.0,374.0,20.0,23.0,78.0,39.0,0.0,34645.0,,,,,,
384,Florida,St. Johns County,2010,"191,249",161720.0,9829.0,388.0,3782.0,52.0,1482.0,1161.0,794.0,652.0,0.0,550.0,214.0,0.0,62663.0,,,,,,
385,Florida,St. Lucie County,2010,"278,264",199387.0,49633.0,1452.0,4226.0,36.0,7905.0,2850.0,838.0,614.0,68.0,2268.0,382.0,0.0,45196.0,,,,,,
386,Florida,Santa Rosa County,2010,"152,908",130575.0,7229.0,1112.0,2987.0,248.0,1207.0,1176.0,1282.0,850.0,27.0,952.0,193.0,0.0,55129.0,,,,,,
387,Florida,Sarasota County,2010,"379,930",342987.0,17082.0,589.0,5060.0,85.0,5823.0,1647.0,1334.0,517.0,208.0,799.0,57.0,12.0,49388.0,,,,,,
388,Florida,Seminole County,2010,"423,051",332935.0,43520.0,1040.0,15483.0,240.0,13929.0,3447.0,1447.0,1710.0,250.0,2681.0,648.0,0.0,58971.0,,,,,,
389,Florida,Sumter County,2010,"94,278",74205.0,9105.0,252.0,529.0,30.0,947.0,116.0,355.0,71.0,11.0,162.0,108.0,0.0,43079.0,,,,,,
390,Florida,Suwannee County,2010,"42,328",34230.0,4336.0,48.0,140.0,0.0,693.0,445.0,337.0,161.0,20.0,49.0,216.0,0.0,36352.0,,,,,,
391,Florida,Taylor County,2010,"22,595",16660.0,4670.0,79.0,144.0,48.0,65.0,18.0,262.0,42.0,0.0,0.0,12.0,0.0,37408.0,,,,,,
392,Florida,Union County,2010,"15,542",11477.0,3383.0,110.0,92.0,0.0,96.0,161.0,22.0,0.0,0.0,34.0,0.0,0.0,41794.0,,,,,,
393,Florida,Volusia County,2010,"494,440",412897.0,49934.0,1348.0,7615.0,128.0,15487.0,2453.0,2559.0,1090.0,272.0,2041.0,206.0,23.0,44400.0,,,,,,
394,Florida,Wakulla County,2010,"30,825",24529.0,3905.0,258.0,192.0,0.0,120.0,202.0,88.0,43.0,0.0,4.0,27.0,0.0,53301.0,,,,,,
395,Florida,Walton County,2010,"55,217",46623.0,3033.0,491.0,520.0,90.0,1512.0,362.0,467.0,116.0,0.0,103.0,49.0,0.0,47273.0,,,,,,
396,Florida,Washington County,2010,"24,720",19571.0,3331.0,224.0,91.0,0.0,41.0,225.0,317.0,96.0,33.0,185.0,11.0,0.0,36216.0,,,,,,
1860,New York,New York,2010,"19,399,878",,,,,,,,,,,,,,,,,,,,
1861,New York,Albany County,2010,"304,086",239946.0,36817.0,716.0,13414.0,185.0,6504.0,2392.0,574.0,1337.0,496.0,1309.0,327.0,15.0,56090.0,,,,,,
1862,New York,Allegany County,2010,"48,971",47388.0,507.0,157.0,487.0,12.0,144.0,115.0,137.0,31.0,5.0,89.0,33.0,0.0,41305.0,,,,,,
1863,New York,Bronx County,2010,"1,387,298",299048.0,470130.0,6453.0,49076.0,177.0,497986.0,7264.0,2097.0,1618.0,1912.0,27721.0,2047.0,196.0,34264.0,,8.0,,22.0,3.0,18.0
1864,New York,Broome County,2010,"200,481",178141.0,8832.0,615.0,6659.0,20.0,2093.0,2149.0,621.0,1024.0,73.0,406.0,138.0,33.0,44457.0,,,,,,
1865,New York,Cattaraugus County,2010,"80,218",75552.0,1009.0,2292.0,475.0,20.0,251.0,367.0,546.0,121.0,39.0,96.0,8.0,0.0,42466.0,,,,,,
1866,New York,Cayuga County,2010,"79,895",74600.0,3397.0,283.0,400.0,6.0,586.0,530.0,323.0,82.0,8.0,185.0,31.0,0.0,48415.0,,,,,,
1867,New York,Chautauqua County,2010,"134,725",126806.0,3085.0,570.0,780.0,50.0,1395.0,1404.0,657.0,62.0,56.0,333.0,65.0,0.0,40639.0,,,,,,
1868,New York,Chemung County,2010,"88,895",79496.0,5344.0,252.0,876.0,27.0,357.0,1414.0,381.0,290.0,16.0,157.0,75.0,23.0,44502.0,,,,,,
1869,New York,Chenango County,2010,"50,399",49397.0,314.0,57.0,137.0,7.0,232.0,174.0,176.0,119.0,16.0,192.0,224.0,0.0,43943.0,,,,,,
1870,New York,Clinton County,2010,"82,096",76211.0,3068.0,209.0,770.0,79.0,730.0,357.0,412.0,210.0,0.0,302.0,32.0,0.0,47489.0,,,,,,
1871,New York,Columbia County,2010,"63,036",57922.0,2964.0,199.0,1017.0,0.0,332.0,192.0,216.0,55.0,39.0,189.0,116.0,0.0,55546.0,,,,,,
1872,New York,Cortland County,2010,"49,279",47035.0,656.0,154.0,387.0,36.0,425.0,239.0,226.0,81.0,74.0,122.0,17.0,0.0,45338.0,,,,,,
1873,New York,Delaware County,2010,"47,888",45992.0,715.0,159.0,367.0,0.0,499.0,140.0,172.0,41.0,21.0,107.0,7.0,0.0,42967.0,,,,,,
1874,New York,Dutchess County,2010,"297,728",236568.0,28694.0,355.0,10350.0,40.0,13621.0,2138.0,1026.0,895.0,634.0,1195.0,623.0,13.0,69838.0,,,,,,
1875,New York,Erie County,2010,"919,152",741195.0,123134.0,4979.0,22858.0,119.0,13890.0,5781.0,2823.0,2090.0,821.0,2519.0,819.0,174.0,47372.0,,,,,,
1876,New York,Essex County,2010,"39,360",37002.0,1073.0,82.0,175.0,30.0,494.0,57.0,349.0,9.0,30.0,47.0,62.0,6.0,45216.0,,,,,,
1877,New York,Franklin County,2010,"51,645",43438.0,3467.0,2698.0,565.0,16.0,837.0,236.0,120.0,117.0,39.0,155.0,9.0,0.0,42050.0,,,,,,
1878,New York,Fulton County,2010,"55,455",53174.0,1063.0,107.0,321.0,0.0,202.0,304.0,197.0,91.0,31.0,7.0,0.0,0.0,43240.0,,,,,,
1879,New York,Genesee County,2010,"59,928",56346.0,1476.0,526.0,245.0,12.0,245.0,536.0,280.0,197.0,0.0,49.0,40.0,0.0,49750.0,,,,,,
1880,New York,Greene County,2010,"49,139",44853.0,2989.0,100.0,362.0,0.0,489.0,254.0,179.0,77.0,0.0,84.0,23.0,0.0,46235.0,,,,,,
1881,New York,Hamilton County,2010,"4,851",4741.0,27.0,0.0,34.0,0.0,32.0,25.0,12.0,4.0,27.0,0.0,6.0,0.0,49557.0,,,,,,
1882,New York,Herkimer County,2010,"64,470",62295.0,520.0,148.0,325.0,0.0,365.0,283.0,166.0,70.0,66.0,52.0,30.0,12.0,42318.0,,,,,,
1883,New York,Jefferson County,2010,"116,592",100779.0,5533.0,518.0,1571.0,325.0,2678.0,1384.0,654.0,295.0,104.0,1073.0,147.0,8.0,43410.0,,,,,,
1884,New York,Kings County,2010,"2,509,828",1082607.0,850365.0,7150.0,251286.0,861.0,232315.0,9488.0,2891.0,7983.0,2476.0,16259.0,2957.0,144.0,43567.0,5.0,9.0,2.0,28.0,2.0,34.0
1885,New York,Lewis County,2010,"27,077",26427.0,203.0,81.0,47.0,4.0,57.0,104.0,87.0,0.0,0.0,7.0,0.0,0.0,42846.0,,,,,,
1886,New York,Livingston County,2010,"65,240",61715.0,1678.0,175.0,705.0,21.0,417.0,198.0,253.0,179.0,13.0,32.0,55.0,0.0,51690.0,,,,,,
1887,New York,Madison County,2010,"73,440",69320.0,1293.0,461.0,568.0,0.0,385.0,358.0,292.0,125.0,0.0,64.0,9.0,12.0,53345.0,,,,,,
1888,New York,Monroe County,2010,"744,580",573511.0,110264.0,1804.0,23545.0,342.0,17050.0,6160.0,1723.0,2231.0,815.0,2770.0,1046.0,13.0,51303.0,,,,,,
1889,New York,Montgomery County,2010,"50,307",45819.0,747.0,113.0,330.0,0.0,2012.0,248.0,164.0,112.0,30.0,283.0,87.0,0.0,42603.0,,,,,,
1890,New York,Nassau County,2010,"1,341,669",983730.0,144473.0,1861.0,99017.0,35.0,77601.0,5454.0,2283.0,3889.0,808.0,8421.0,1446.0,65.0,93613.0,2.0,23.0,5.0,5.0,1.0,26.0
1891,New York,New York County,2010,"1,588,767",888905.0,245976.0,5494.0,176542.0,456.0,214315.0,16161.0,3048.0,11568.0,1757.0,14868.0,3838.0,417.0,64971.0,12.0,8.0,9.0,10.0,1.0,13.0
1892,New York,Niagara County,2010,"216,475",192991.0,14846.0,1846.0,1829.0,39.0,739.0,1665.0,1146.0,333.0,129.0,400.0,101.0,0.0,45964.0,,,,,,
1893,New York,Oneida County,2010,"234,756",205844.0,13412.0,495.0,5848.0,116.0,3713.0,2302.0,783.0,413.0,321.0,959.0,226.0,101.0,46708.0,,,,,,
1894,New York,Onondaga County,2010,"467,533",381903.0,49057.0,3511.0,14027.0,331.0,4333.0,4363.0,2241.0,1328.0,567.0,1418.0,581.0,44.0,50676.0,,,,,,
1895,New York,Ontario County,2010,"108,176",99860.0,2542.0,161.0,1093.0,0.0,740.0,801.0,433.0,198.0,0.0,396.0,74.0,0.0,56468.0,,,,,,
1896,New York,Orange County,2010,"373,445",287914.0,35460.0,1006.0,8807.0,82.0,27059.0,3004.0,1012.0,1440.0,303.0,3034.0,909.0,171.0,69523.0,,,,,,
1897,New York,Orleans County,2010,"42,851",38831.0,2608.0,333.0,148.0,0.0,575.0,384.0,52.0,73.0,36.0,82.0,47.0,0.0,48063.0,,,,,,
1898,New York,Oswego County,2010,"122,137",118109.0,1096.0,300.0,811.0,14.0,304.0,412.0,773.0,44.0,0.0,249.0,108.0,0.0,45333.0,,,,,,
1899,New York,Otsego County,2010,"62,259",59377.0,1216.0,71.0,570.0,0.0,532.0,96.0,356.0,81.0,36.0,121.0,148.0,0.0,45268.0,,,,,,
1900,New York,Putnam County,2010,"99,667",88916.0,2076.0,14.0,1903.0,0.0,4434.0,412.0,434.0,324.0,86.0,787.0,122.0,37.0,89218.0,,1.0,,,,2.0
1901,New York,Queens County,2010,"2,234,701",947722.0,419972.0,9118.0,507598.0,811.0,261215.0,8078.0,3752.0,7563.0,3291.0,25956.0,3782.0,311.0,55291.0,,14.0,1.0,24.0,1.0,29.0
1902,New York,Rensselaer County,2010,"159,340",140335.0,7943.0,379.0,3290.0,14.0,1639.0,1839.0,2062.0,456.0,97.0,310.0,236.0,29.0,54152.0,,,,,,
1903,New York,Richmond County,2010,"469,615",351112.0,46563.0,904.0,35426.0,0.0,21934.0,2407.0,812.0,1038.0,321.0,2567.0,343.0,23.0,71084.0,,6.0,1.0,1.0,,10.0
1904,New York,Rockland County,2010,"312,499",228533.0,37211.0,700.0,19567.0,274.0,15407.0,1079.0,225.0,480.0,81.0,1672.0,221.0,11.0,82534.0,,5.0,,,2.0,4.0
1905,New York,St. Lawrence County,2010,"111,812",104796.0,3134.0,516.0,1037.0,48.0,835.0,475.0,361.0,153.0,32.0,298.0,90.0,3.0,42303.0,,,,,,
1906,New York,Saratoga County,2010,"220,109",205842.0,3191.0,358.0,3253.0,67.0,845.0,1054.0,585.0,1134.0,93.0,432.0,389.0,21.0,65100.0,,,,,,
1907,New York,Schenectady County,2010,"154,861",124589.0,14603.0,737.0,5689.0,244.0,4084.0,1335.0,234.0,412.0,181.0,762.0,398.0,0.0,55188.0,,,,,,
1908,New York,Schoharie County,2010,"32,686",31593.0,416.0,122.0,217.0,0.0,165.0,114.0,122.0,4.0,0.0,28.0,8.0,0.0,50864.0,,,,,,
1909,New York,Schuyler County,2010,"18,334",17977.0,292.0,42.0,28.0,0.0,16.0,22.0,161.0,19.0,0.0,4.0,5.0,0.0,47404.0,,,,,,
1910,New York,Seneca County,2010,"35,266",32749.0,1583.0,189.0,198.0,4.0,125.0,241.0,80.0,89.0,0.0,50.0,1.0,0.0,46707.0,,,,,,
1911,New York,Steuben County,2010,"99,005",94374.0,1681.0,277.0,1200.0,0.0,370.0,295.0,298.0,52.0,32.0,127.0,18.0,0.0,43867.0,,,,,,
1912,New York,Suffolk County,2010,"1,494,339",1230714.0,108717.0,3645.0,50598.0,48.0,65825.0,4906.0,2983.0,4329.0,1834.0,7409.0,1501.0,39.0,84506.0,4.0,29.0,4.0,4.0,7.0,30.0
1913,New York,Sullivan County,2010,"77,476",63910.0,6645.0,469.0,1090.0,0.0,3137.0,816.0,397.0,64.0,200.0,748.0,149.0,0.0,48103.0,,,,,,
1914,New York,Tioga County,2010,"51,008",49924.0,266.0,69.0,258.0,18.0,116.0,218.0,234.0,167.0,28.0,58.0,21.0,0.0,51948.0,,,,,,
1915,New York,Tompkins County,2010,"101,740",83863.0,3864.0,288.0,9048.0,64.0,1067.0,880.0,466.0,440.0,214.0,308.0,86.0,24.0,48655.0,,,,,,
1916,New York,Ulster County,2010,"182,418",160766.0,10721.0,448.0,3105.0,22.0,3216.0,1791.0,834.0,432.0,244.0,828.0,375.0,0.0,57584.0,,,,,,
1917,New York,Warren County,2010,"65,665",63700.0,587.0,287.0,463.0,29.0,197.0,163.0,112.0,57.0,0.0,108.0,4.0,0.0,51619.0,,,,,,
1918,New York,Washington County,2010,"63,356",59643.0,1938.0,115.0,301.0,33.0,413.0,211.0,267.0,43.0,70.0,40.0,14.0,0.0,48327.0,,,,,,
1919,New York,Wayne County,2010,"93,751",87678.0,3362.0,296.0,418.0,0.0,800.0,349.0,320.0,211.0,14.0,186.0,20.0,0.0,52562.0,,,,,,
1920,New York,Westchester County,2010,"950,601",638026.0,132721.0,1231.0,50538.0,188.0,94855.0,6480.0,1367.0,4315.0,608.0,7528.0,1419.0,130.0,79619.0,5.0,5.0,3.0,5.0,,12.0
1921,New York,Wyoming County,2010,"42,126",38258.0,2774.0,103.0,248.0,8.0,530.0,143.0,133.0,39.0,38.0,85.0,8.0,0.0,50075.0,,,,,,
1922,New York,Yates County,2010,"25,376",24594.0,281.0,78.0,83.0,0.0,37.0,36.0,89.0,26.0,0.0,14.0,12.0,0.0,46822.0,,,,,,
3601,Florida,Florida,2011,"19,053,237",,,,,,,,,,,,,,,,,,,,
3602,Florida,Alachua County,2011,"249,834",173450.0,49031.0,535.0,13090.0,207.0,3461.0,2155.0,881.0,1480.0,288.0,868.0,745.0,12.0,41373.0,,,,,,
3603,Florida,Baker County,2011,"27,049",22472.0,3714.0,33.0,117.0,0.0,148.0,191.0,58.0,28.0,13.0,89.0,0.0,0.0,47041.0,,,,,,
3604,Florida,Bay County,2011,"169,555",138636.0,17447.0,891.0,3671.0,164.0,791.0,1890.0,1543.0,1036.0,308.0,977.0,284.0,7.0,48225.0,,,,,,
3605,Florida,Bradford County,2011,"28,431",21998.0,5930.0,41.0,89.0,122.0,24.0,155.0,50.0,33.0,10.0,231.0,18.0,0.0,41397.0,,,,,,
3606,Florida,Brevard County,2011,"544,359",453374.0,53882.0,1808.0,10547.0,340.0,8741.0,4134.0,2425.0,3232.0,171.0,2820.0,757.0,89.0,50068.0,,,,,,
3607,Florida,Broward County,2011,"1,786,980",1115121.0,457325.0,3848.0,56887.0,1047.0,65386.0,13515.0,3723.0,6189.0,1109.0,15321.0,2329.0,212.0,51782.0,8.0,53.0,4.0,,15.0,49.0
3608,Florida,Calhoun County,2011,"14,717",11752.0,2149.0,210.0,13.0,0.0,192.0,67.0,64.0,0.0,59.0,24.0,0.0,0.0,31142.0,,,,,,
3609,Florida,Charlotte County,2011,"159,869",144824.0,8811.0,341.0,1834.0,0.0,1596.0,1042.0,594.0,612.0,0.0,281.0,160.0,0.0,45112.0,,,,,,
3610,Florida,Citrus County,2011,"139,764",131655.0,3927.0,682.0,1975.0,22.0,939.0,589.0,683.0,239.0,16.0,407.0,10.0,13.0,38189.0,,,,,,
3611,Florida,Clay County,2011,"192,314",156672.0,18443.0,656.0,5507.0,36.0,2610.0,778.0,1203.0,1302.0,156.0,1274.0,253.0,0.0,59994.0,,,,,,
3612,Florida,Collier County,2011,"327,629",276733.0,21468.0,661.0,3574.0,77.0,13745.0,1126.0,913.0,519.0,36.0,1118.0,117.0,0.0,56876.0,,,,,,
3613,Florida,Columbia County,2011,"67,317",52519.0,11998.0,371.0,399.0,0.0,710.0,366.0,439.0,164.0,5.0,297.0,0.0,19.0,38589.0,,,,,,
3614,Florida,DeSoto County,2011,"34,845",27708.0,4525.0,86.0,158.0,15.0,1572.0,38.0,98.0,25.0,43.0,358.0,19.0,24.0,36407.0,,,,,,
3615,Florida,Dixie County,2011,"16,406",15064.0,929.0,19.0,21.0,0.0,12.0,46.0,150.0,28.0,0.0,44.0,4.0,0.0,34243.0,,,,,,
3616,Florida,Duval County,2011,"872,355",533595.0,252937.0,2556.0,35469.0,592.0,13686.0,6532.0,3500.0,5023.0,892.0,4569.0,1013.0,115.0,49964.0,,,,,,
3617,Florida,Escambia County,2011,"299,401",207330.0,66760.0,1731.0,8198.0,547.0,2125.0,2804.0,3025.0,2117.0,1022.0,1674.0,294.0,41.0,43707.0,,,,,,
3618,Florida,Flagler County,2011,"97,462",77323.0,10633.0,188.0,1938.0,73.0,2324.0,608.0,322.0,325.0,79.0,541.0,77.0,0.0,48708.0,,,,,,
