NAME,B19301D_001E,state,county,year
"Monroe County, Arkansas",,05,095,2019
"Conway County, Arkansas",40930.0,05,029,2019
"Newton County, Arkansas",,05,101,2019
"Arkansas County, Arkansas",,05,001,2019
"Lonoke County, Arkansas",23467.0,05,085,2019
"Carroll County, Arkansas",10507.0,05,015,2019
"St. Francis County, Arkansas",14721.0,05,123,2019
"Pulaski County, Arkansas",40948.0,05,119,2019
"Merced County, California",22978.0,06,047,2019
"Mariposa County, California",17106.0,06,043,2019
"Modoc County, California",11401.0,06,049,2019
"Contra Costa County, California",50298.0,06,013,2019
"Inyo County, California",55315.0,06,027,2019
"Stanislaus County, California",29954.0,06,099,2019
"Santa Barbara County, California",35211.0,06,083,2019
"Tehama County, California",18701.0,06,103,2019
"Mono County, California",27944.0,06,051,2019
"San Benito County, California",38926.0,06,069,2019
"Bryan County, Georgia",35562.0,13,029,2019
"Butts County, Georgia",39479.0,13,035,2019
"Camden County, Georgia",21468.0,13,039,2019
"Crawford County, Georgia",,13,079,2019
"Early County, Georgia",,13,099,2019
"Coffee County, Georgia",9943.0,13,069,2019
"Coweta County, Georgia",33323.0,13,077,2019
"Gilmer County, Georgia",14104.0,13,123,2019
"Walton County, Georgia",21242.0,13,297,2019
"Wilkes County, Georgia",147092.0,13,317,2019
"Dodge County, Georgia",,13,091,2019
"Gordon County, Georgia",21822.0,13,129,2019
"Cherokee County, Georgia",34119.0,13,057,2019
"Fayette County, Georgia",36106.0,13,113,2019
"Lee County, Georgia",30321.0,13,177,2019
"Pickens County, Georgia",30459.0,13,227,2019
"Greene County, Georgia",42257.0,13,133,2019
"Cook County, Georgia",,13,075,2019
"Dawson County, Georgia",21054.0,13,085,2019
"Fulton County, Georgia",52044.0,13,121,2019
"Hawaii County, Hawaii",32917.0,15,001,2019
"Honolulu County, Hawaii",39447.0,15,003,2019
"Kauai County, Hawaii",33489.0,15,007,2019
"Kalawao County, Hawaii",28014.0,15,005,2019
"Cassia County, Idaho",14063.0,16,031,2019
"Lincoln County, Idaho",30227.0,16,063,2019
"Valley County, Idaho",49124.0,16,085,2019
"Franklin County, Idaho",,16,041,2019
"Nez Perce County, Idaho",17414.0,16,069,2019
"Kootenai County, Idaho",25016.0,16,055,2019
"Minidoka County, Idaho",,16,067,2019
"Twin Falls County, Idaho",16699.0,16,083,2019
"Blaine County, Idaho",33588.0,16,013,2019
"Boise County, Idaho",15600.0,16,015,2019
"Butte County, Idaho",-666666666.0,16,023,2019
"Gooding County, Idaho",15242.0,16,047,2019
"Ada County, Idaho",29654.0,16,001,2019
"Bear Lake County, Idaho",12070.0,16,007,2019
"Bingham County, Idaho",13853.0,16,011,2019
"Camas County, Idaho",-666666666.0,16,025,2019
"Clearwater County, Idaho",32474.0,16,035,2019
"Jefferson County, Idaho",,16,051,2019
"Lane County, Oregon",29434.0,41,039,2019
"Surry County, Virginia",,51,181,2019
"Clarke County, Virginia",20312.0,51,043,2019
"Mecklenburg County, Virginia",12276.0,51,117,2019
"Augusta County, Virginia",45786.0,51,015,2019
"Goochland County, Virginia",39024.0,51,075,2019
"Madison County, Virginia",6780.0,51,113,2019
"Roanoke County, Virginia",39014.0,51,161,2019
"Brunswick County, Virginia",3214.0,51,025,2019
"Northampton County, Virginia",40770.0,51,131,2019
"Rockbridge County, Virginia",38691.0,51,163,2019
"Norton city, Virginia",19814.0,51,720,2019
"Colonial Heights city, Virginia",14203.0,51,570,2019
"Bland County, Virginia",,51,021,2019
"Botetourt County, Virginia",31545.0,51,023,2019
"Bristol city, Virginia",,51,520,2019
"Williamsburg city, Virginia",5442.0,51,830,2019
"Carroll County, Virginia",,51,035,2019
"Sacramento County, California",30657.0,06,067,2019
"El Dorado County, California",47141.0,06,017,2019
"Monterey County, California",37316.0,06,053,2019
"San Francisco County, California",54010.0,06,075,2019
"San Diego County, California",39745.0,06,073,2019
"Tulare County, California",26754.0,06,107,2019
"Humboldt County, California",16563.0,06,023,2019
"Alpine County, California",,06,003,2019
"Madera County, California",24906.0,06,039,2019
"Santa Cruz County, California",36164.0,06,087,2019
"Trinity County, California",19227.0,06,105,2019
"Riverside County, California",31508.0,06,065,2019
"San Bernardino County, California",33570.0,06,071,2019
"Marin County, California",65511.0,06,041,2019
"Placer County, California",47076.0,06,061,2019
"Shasta County, California",29746.0,06,089,2019
"Solano County, California",36282.0,06,095,2019
"Colusa County, California",20106.0,06,011,2019
"Copiah County, Mississippi",45648.0,28,029,2019
"Hinds County, Mississippi",20582.0,28,049,2019
"Union County, Mississippi",,28,145,2019
"Tippah County, Mississippi",,28,139,2019
"Forrest County, Mississippi",12801.0,28,035,2019
"Lafayette County, Mississippi",23798.0,28,071,2019
"Lowndes County, Mississippi",22400.0,28,087,2019
"Wilkinson County, Mississippi",,28,157,2019
"Jefferson Davis County, Mississippi",,28,065,2019
"Scott County, Mississippi",53948.0,28,123,2019
"Yazoo County, Mississippi",29807.0,28,163,2019
"Bolivar County, Mississippi",34164.0,28,011,2019
"Pike County, Mississippi",59030.0,28,113,2019
"Stone County, Mississippi",-666666666.0,28,131,2019
"Kemper County, Mississippi",,28,069,2019
"Sunflower County, Mississippi",6440.0,28,133,2019
"Adams County, Mississippi",11874.0,28,001,2019
"DeSoto County, Mississippi",26002.0,28,033,2019
"Delaware County, Pennsylvania",38662.0,42,045,2019
"Somerset County, Pennsylvania",46073.0,42,111,2019
"Madison County, Missouri",45959.0,29,123,2019
"Vernon County, Missouri",19253.0,29,217,2019
"Nodaway County, Missouri",12986.0,29,147,2019
"Chariton County, Missouri",-666666666.0,29,041,2019
"Wayne County, Missouri",1986.0,29,223,2019
"Scott County, Missouri",13329.0,29,201,2019
"Barton County, Missouri",,29,011,2019
"Cedar County, Missouri",,29,039,2019
"Gasconade County, Missouri",45692.0,29,073,2019
"Macon County, Missouri",4731.0,29,121,2019
"Oregon County, Missouri",58363.0,29,149,2019
"Ste. Genevieve County, Missouri",46925.0,29,186,2019
"Douglas County, Missouri",,29,067,2019
"Henry County, Missouri",22664.0,29,083,2019
"Lawrence County, Missouri",,29,109,2019
"Pulaski County, Missouri",26967.0,29,169,2019
"Texas County, Missouri",42239.0,29,215,2019
"Callaway County, Missouri",17252.0,29,027,2019
"Cooper County, Missouri",20581.0,29,053,2019
"Gentry County, Missouri",39636.0,29,075,2019
"Washington County, Virginia",37776.0,51,191,2019
"Page County, Virginia",31723.0,51,139,2019
"Alexandria city, Virginia",57040.0,51,510,2019
"Hampton city, Virginia",34360.0,51,650,2019
"Arlington County, Virginia",60279.0,51,013,2019
"Buchanan County, Virginia",25781.0,51,027,2019
"Stafford County, Virginia",38260.0,51,179,2019
"Richmond city, Virginia",26376.0,51,760,2019
"Essex County, Virginia",25141.0,51,057,2019
"Tazewell County, Virginia",21896.0,51,185,2019
"Manassas Park city, Virginia",35648.0,51,685,2019
