NAME,B19301E_001E,state,county,year
"Clay County, Illinois",-666666666.0,17,025,2019
"Gallatin County, Illinois",-666666666.0,17,059,2019
"Monroe County, Illinois",-666666666.0,17,133,2019
"Union County, Illinois",9970.0,17,181,2019
"Winnebago County, Illinois",8789.0,17,201,2019
"Pulaski County, Illinois",-666666666.0,17,153,2019
"Schuyler County, Illinois",-666666666.0,17,169,2019
"Edgar County, Illinois",-666666666.0,17,045,2019
"Boone County, Illinois",-666666666.0,17,007,2019
"Bureau County, Illinois",,17,011,2019
"Coles County, Illinois",,17,029,2019
"Crawford County, Illinois",17521.0,17,033,2019
"Putnam County, Illinois",-666666666.0,17,155,2019
"De Witt County, Illinois",29083.0,17,039,2019
"Lee County, Illinois",,17,103,2019
"Macoupin County, Illinois",-666666666.0,17,117,2019
"Richland County, Illinois",-666666666.0,17,159,2019
"Washington County, Illinois",,17,189,2019
"Washington County, Oregon",35210.0,41,067,2019
"Clatsop County, Oregon",19363.0,41,007,2019
"Cameron County, Pennsylvania",-666666666.0,42,023,2019
"Bucks County, Pennsylvania",14910.0,42,017,2019
"Lehigh County, Pennsylvania",10660.0,42,077,2019
"Clarion County, Pennsylvania",,42,031,2019
"Greene County, Pennsylvania",,42,059,2019
"Luzerne County, Pennsylvania",23497.0,42,079,2019
"Columbia County, Pennsylvania",,42,037,2019
"Jefferson County, Pennsylvania",,42,065,2019
"Perry County, Pennsylvania",33891.0,42,099,2019
"Sullivan County, Pennsylvania",,42,113,2019
"Kent County, Rhode Island",,44,003,2019
"Washington County, Rhode Island",30391.0,44,009,2019
"Newberry County, South Carolina",-666666666.0,45,071,2019
"Clarendon County, South Carolina",,45,027,2019
"Sumter County, South Carolina",46115.0,45,085,2019
"Barnwell County, South Carolina",,45,011,2019
"Darlington County, South Carolina",,45,031,2019
"York County, South Carolina",13861.0,45,091,2019
"Cherokee County, South Carolina",8780.0,45,021,2019
"Jasper County, South Carolina",-666666666.0,45,053,2019
"Lee County, South Carolina",-666666666.0,45,061,2019
"Abbeville County, South Carolina",-666666666.0,45,001,2019
"Lyman County, South Dakota",,46,085,2019
"Deuel County, South Dakota",-666666666.0,46,039,2019
"Glenn County, California",,06,021,2019
"Butte County, California",28040.0,06,007,2019
"Kings County, California",12855.0,06,031,2019
"Plumas County, California",,06,063,2019
"San Luis Obispo County, California",21802.0,06,079,2019
"Fresno County, California",20080.0,06,019,2019
"Kern County, California",17047.0,06,029,2019
"Orange County, California",33256.0,06,059,2019
"Ventura County, California",33460.0,06,111,2019
"Calaveras County, California",,06,009,2019
"Sutter County, California",18795.0,06,101,2019
"San Mateo County, California",28103.0,06,081,2019
"Tuolumne County, California",27833.0,06,109,2019
"San Joaquin County, California",23152.0,06,077,2019
"Amador County, California",,06,005,2019
"Phillips County, Colorado",-666666666.0,08,095,2019
"Archuleta County, Colorado",,08,007,2019
"Denver County, Colorado",43207.0,08,031,2019
"Kiowa County, Colorado",-666666666.0,08,061,2019
"Huerfano County, Colorado",-666666666.0,08,055,2019
"Baca County, Colorado",,08,009,2019
"Gilpin County, Colorado",-666666666.0,08,047,2019
"Kit Carson County, Colorado",,08,063,2019
"Gunnison County, Colorado",,08,051,2019
"Mineral County, Colorado",-666666666.0,08,079,2019
"Ouray County, Colorado",,08,091,2019
"Sedgwick County, Colorado",-666666666.0,08,115,2019
"Weld County, Colorado",19838.0,08,123,2019
"Custer County, Colorado",-666666666.0,08,027,2019
"Costilla County, Colorado",-666666666.0,08,023,2019
"Douglas County, Colorado",47360.0,08,035,2019
"Lake County, Colorado",,08,065,2019
"La Plata County, Colorado",,08,067,2019
"Pitkin County, Colorado",-666666666.0,08,097,2019
"Rio Grande County, Colorado",,08,105,2019
"Bent County, Colorado",-666666666.0,08,011,2019
"Crowley County, Colorado",-666666666.0,08,025,2019
"San Juan County, Colorado",-666666666.0,08,111,2019
"Larimer County, Colorado",21514.0,08,069,2019
"Logan County, Colorado",,08,075,2019
"San Miguel County, Colorado",-666666666.0,08,113,2019
"Teller County, Colorado",,08,119,2019
"Elbert County, Colorado",,08,039,2019
"Las Animas County, Colorado",-666666666.0,08,071,2019
"Lincoln County, Colorado",,08,073,2019
"Summit County, Colorado",,08,117,2019
"Alamosa County, Colorado",,08,003,2019
"Delta County, Colorado",-666666666.0,08,029,2019
"Fremont County, Colorado",,08,043,2019
"Montrose County, Colorado",29450.0,08,085,2019
"Morgan County, Colorado",,08,087,2019
"Saguache County, Colorado",-666666666.0,08,109,2019
"Prowers County, Colorado",-666666666.0,08,099,2019
"Washington County, Colorado",,08,121,2019
"Grand County, Colorado",,08,049,2019
"Otero County, Colorado",,08,089,2019
"Broomfield County, Colorado",-666666666.0,08,014,2019
"Sussex County, Delaware",18501.0,10,005,2019
"District of Columbia, District of Columbia",62440.0,11,001,2019
"New Haven County, Connecticut",53015.0,09,009,2019
"Hartford County, Connecticut",15972.0,09,003,2019
"Shelby County, Tennessee",36143.0,47,157,2019
"Henderson County, Tennessee",,47,077,2019
"Jefferson County, Tennessee",,47,089,2019
"Sequatchie County, Tennessee",-666666666.0,47,153,2019
"Carroll County, Tennessee",,47,017,2019
"Davidson County, Tennessee",15289.0,47,037,2019
"Perry County, Tennessee",-666666666.0,47,135,2019
"Meigs County, Tennessee",-666666666.0,47,121,2019
"Haywood County, Tennessee",,47,075,2019
"Montgomery County, Tennessee",22231.0,47,125,2019
"Grundy County, Tennessee",-666666666.0,47,061,2019
"Cocke County, Tennessee",,47,029,2019
"DeKalb County, Tennessee",,47,041,2019
"Lewis County, Tennessee",-666666666.0,47,101,2019
"Obion County, Tennessee",,47,131,2019
"Tipton County, Tennessee",,47,167,2019
"Dyer County, Tennessee",56363.0,47,045,2019
"Hamilton County, Tennessee",31834.0,47,065,2019
"Polk County, Tennessee",-666666666.0,47,139,2019
"White County, Tennessee",-666666666.0,47,185,2019
"Sullivan County, Tennessee",16830.0,47,163,2019
"Schoharie County, New York",,36,095,2019
"Fulton County, New York",,36,035,2019
"Rensselaer County, New York",33408.0,36,083,2019
"Franklin County, New York",32803.0,36,033,2019
"Queens County, New York",47449.0,36,081,2019
"Washington County, New York",,36,115,2019
"New York County, New York",35567.0,36,061,2019
"Cayuga County, New York",,36,011,2019
"Rockland County, New York",78411.0,36,087,2019
"Niagara County, New York",,36,063,2019
"Essex County, New York",30943.0,36,031,2019
"Nassau County, New York",26997.0,36,059,2019
"Schuyler County, New York",-666666666.0,36,097,2019
"Chenango County, New York",,36,017,2019
"Jefferson County, New York",29662.0,36,045,2019
"Suffolk County, New York",41802.0,36,103,2019
"Wyoming County, New York",-666666666.0,36,121,2019
"Oswego County, New York",,36,075,2019
"Wayne County, New York",10815.0,36,117,2019
"Broome County, New York",20280.0,36,007,2019
"Hinsdale County, Colorado",-666666666.0,08,053,2019
"Erie County, New York",18567.0,36,029,2019
"Sullivan County, New York",-666666666.0,36,105,2019
"Orange County, New York",16337.0,36,071,2019
"Haywood County, North Carolina",-666666666.0,37,087,2019
"Forsyth County, North Carolina",16032.0,37,067,2019
"Lake County, Indiana",40733.0,18,089,2019
