NAME,B19301A_001E,state,county,year,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,B19301H_001E,B19301I_001E,B19301_001E
"Nodaway County, Missouri",22710.0,29,147,2018,16069.0,5289.0,15987.0,,4791.0,10272.0,22861.0,6369.0,22151.0
"Chariton County, Missouri",25122.0,29,41,2018,13849.0,,,,,5611.0,25135.0,25668.0,24470.0
"Grundy County, Missouri",23786.0,29,79,2018,3746.0,23485.0,1267.0,,9382.0,5440.0,23857.0,16086.0,23249.0
"Morgan County, Missouri",21750.0,29,141,2018,14361.0,,9130.0,,,16809.0,21871.0,9698.0,21265.0
"Wayne County, Missouri",18922.0,29,223,2018,34354.0,23880.0,10929.0,,,7055.0,18981.0,15210.0,18759.0
"Bollinger County, Missouri",21019.0,29,17,2018,4559.0,26291.0,18046.0,,,19633.0,21087.0,15096.0,20949.0
"Cape Girardeau County, Missouri",28132.0,29,31,2018,17054.0,55308.0,11246.0,,23348.0,8877.0,28141.0,22333.0,26546.0
"Shelby County, Missouri",24053.0,29,205,2018,5108.0,,21478.0,,,3106.0,24253.0,9973.0,23501.0
"Webster County, Missouri",21709.0,29,225,2018,15275.0,34491.0,23383.0,,24846.0,22202.0,21882.0,12487.0,21682.0
"Atchison County, Missouri",29137.0,29,5,2018,20885.0,16515.0,7848.0,,57793.0,24834.0,29105.0,38086.0,29009.0
"Bates County, Missouri",27707.0,29,13,2018,15696.0,12114.0,17419.0,,10400.0,10550.0,27940.0,10659.0,27035.0
"Benton County, Missouri",24446.0,29,15,2018,16528.0,14237.0,,,,11629.0,24597.0,8634.0,23984.0
"Carter County, Missouri",22626.0,29,35,2018,,11468.0,,,,6032.0,22740.0,8751.0,21884.0
"Dade County, Missouri",21796.0,29,57,2018,,11933.0,,,24903.0,17640.0,21944.0,15644.0,21538.0
"Linn County, Missouri",24221.0,29,115,2018,14831.0,14079.0,57939.0,,77636.0,10357.0,24376.0,25037.0,24150.0
"Howell County, Missouri",20750.0,29,91,2018,6101.0,32529.0,52989.0,,,20599.0,20846.0,15236.0,20873.0
"Johnson County, Missouri",24989.0,29,101,2018,18487.0,17081.0,19138.0,16005.0,28724.0,13064.0,25177.0,20072.0,24146.0
"Laclede County, Missouri",21569.0,29,105,2018,19349.0,26084.0,13241.0,,48437.0,19207.0,21810.0,16673.0,21577.0
"Maries County, Missouri",23958.0,29,125,2018,9448.0,10996.0,,,,11211.0,24102.0,18698.0,23729.0
"Phelps County, Missouri",24826.0,29,161,2018,10773.0,24292.0,27992.0,,12156.0,12750.0,24848.0,20010.0,24304.0
"Platte County, Missouri",41482.0,29,165,2018,30306.0,44774.0,30577.0,18694.0,28341.0,16153.0,42347.0,26111.0,39427.0
"St. Francois County, Missouri",23157.0,29,187,2018,10759.0,27587.0,25399.0,,10199.0,21845.0,23065.0,33847.0,22575.0
"Andrew County, Missouri",28487.0,29,3,2018,18250.0,37752.0,22038.0,,,10407.0,28512.0,21833.0,28027.0
"Carroll County, Missouri",25293.0,29,33,2018,12275.0,,,,12424.0,6806.0,25312.0,21379.0,24597.0
"Daviess County, Missouri",24442.0,29,61,2018,9989.0,13074.0,15983.0,,26784.0,8810.0,24570.0,15878.0,24081.0
"Knox County, Missouri",22451.0,29,103,2018,15429.0,,,,8630.0,8319.0,22472.0,6833.0,22020.0
"Marion County, Missouri",24195.0,29,127,2018,20836.0,12370.0,34155.0,,23871.0,5287.0,24311.0,15143.0,23589.0
"Osage County, Missouri",26329.0,29,151,2018,6023.0,24522.0,,,,4047.0,26225.0,35916.0,26037.0
"Ripley County, Missouri",17675.0,29,181,2018,,15314.0,32527.0,,,13074.0,17875.0,4883.0,17502.0
"Warren County, Missouri",28511.0,29,219,2018,10142.0,42556.0,28634.0,,9592.0,11400.0,28481.0,20175.0,27523.0
"Audrain County, Missouri",22929.0,29,7,2018,14444.0,9751.0,16187.0,24574.0,11491.0,9958.0,23274.0,9680.0,21819.0
"Christian County, Missouri",27553.0,29,43,2018,10445.0,21156.0,24784.0,,11061.0,15218.0,27736.0,16160.0,27024.0
"Greene County, Missouri",27453.0,29,77,2018,14387.0,31831.0,22459.0,17990.0,13138.0,13469.0,27625.0,18148.0,26378.0
"Harrison County, Missouri",21484.0,29,81,2018,6089.0,18179.0,16313.0,,,8433.0,21627.0,7252.0,20986.0
"St. Clair County, Missouri",23048.0,29,185,2018,7471.0,4564.0,,,,19184.0,23153.0,16367.0,22672.0
"Adair County, Missouri",22574.0,29,1,2018,16010.0,11902.0,13784.0,,67394.0,7377.0,22703.0,11466.0,22000.0
"Scotland County, Missouri",24255.0,29,199,2018,1030.0,,,,,16796.0,24255.0,,23809.0
"Sullivan County, Missouri",21585.0,29,211,2018,29632.0,10093.0,,,19504.0,23816.0,22355.0,18404.0,21661.0
"Clark County, Missouri",29056.0,29,45,2018,11404.0,29146.0,,,,10898.0,29056.0,,28537.0
"Jefferson County, Missouri",29120.0,29,99,2018,19436.0,65249.0,30940.0,30593.0,11449.0,14177.0,29221.0,20687.0,28844.0
"Lewis County, Missouri",23116.0,29,111,2018,20444.0,5783.0,,2736.0,,5492.0,23259.0,15268.0,22602.0
"New Madrid County, Missouri",22388.0,29,143,2018,14187.0,,,,15539.0,5692.0,22530.0,14256.0,20638.0
"Perry County, Missouri",25003.0,29,157,2018,7068.0,15948.0,19083.0,,,12815.0,25166.0,18701.0,24710.0
"Ralls County, Missouri",26822.0,29,173,2018,23142.0,21811.0,25613.0,,,6415.0,26944.0,16330.0,26536.0
"Ray County, Missouri",28199.0,29,177,2018,13492.0,26651.0,75716.0,,5712.0,15130.0,28481.0,14394.0,27768.0
"St. Louis County, Missouri",46700.0,29,189,2018,21835.0,27841.0,47019.0,33148.0,20522.0,17267.0,47134.0,27672.0,39784.0
"Stone County, Missouri",28168.0,29,209,2018,10462.0,19820.0,25183.0,,26159.0,11222.0,28391.0,17950.0,27792.0
"Barry County, Missouri",22002.0,29,9,2018,6189.0,15408.0,35251.0,,16872.0,20528.0,22962.0,12090.0,21960.0
"Boone County, Missouri",31386.0,29,19,2018,19172.0,13411.0,30140.0,18997.0,21877.0,14178.0,31717.0,18415.0,29365.0
"Cedar County, Missouri",22864.0,29,39,2018,,,,,,11522.0,23094.0,9284.0,22434.0
"Crawford County, Missouri",21414.0,29,55,2018,8354.0,,44547.0,,16969.0,9229.0,21558.0,13002.0,21107.0
"Iron County, Missouri",20919.0,29,93,2018,16639.0,9193.0,,,,13605.0,20835.0,21651.0,20696.0
"Livingston County, Missouri",23883.0,29,117,2018,12596.0,20449.0,22986.0,,3758.0,4199.0,24166.0,2484.0,23083.0
"Moniteau County, Missouri",23397.0,29,135,2018,4898.0,35244.0,,,20322.0,2433.0,23738.0,15401.0,22445.0
"Oregon County, Missouri",18112.0,29,149,2018,,7892.0,,,7156.0,20367.0,18196.0,11087.0,18103.0
"Dunklin County, Missouri",21419.0,29,69,2018,12620.0,8404.0,,,4902.0,15829.0,21888.0,7771.0,19818.0
"Pettis County, Missouri",23180.0,29,159,2018,13473.0,36551.0,47055.0,,15485.0,25123.0,23840.0,13651.0,22897.0
"Ste. Genevieve County, Missouri",28962.0,29,186,2018,11497.0,,44143.0,,31325.0,10035.0,28992.0,26599.0,28578.0
"Randolph County, Missouri",21741.0,29,175,2018,14470.0,8152.0,13978.0,,18330.0,7979.0,21895.0,12454.0,20836.0
"Franklin County, Missouri",29027.0,29,71,2018,21451.0,31350.0,37006.0,,19234.0,19017.0,29031.0,23465.0,28773.0
"Howard County, Missouri",24222.0,29,89,2018,14483.0,16389.0,58650.0,,,6916.0,24309.0,13447.0,23328.0
"Jackson County, Missouri",35285.0,29,95,2018,21221.0,25599.0,25497.0,29179.0,13463.0,16187.0,36369.0,16427.0,30237.0
"Miller County, Missouri",24022.0,29,131,2018,5349.0,12810.0,1735.0,,4628.0,8459.0,24187.0,9077.0,23408.0
"Pulaski County, Missouri",23024.0,29,169,2018,20577.0,32369.0,23476.0,13550.0,18628.0,11138.0,23000.0,19633.0,22018.0
"Putnam County, Missouri",22788.0,29,171,2018,,,29347.0,,,2967.0,22794.0,,22607.0
"Taney County, Missouri",22347.0,29,213,2018,15440.0,16279.0,49095.0,,18189.0,12697.0,22739.0,13791.0,22106.0
"Texas County, Missouri",20038.0,29,215,2018,4988.0,15871.0,42856.0,,,9438.0,20210.0,10530.0,19485.0
"Buchanan County, Missouri",26270.0,29,21,2018,19127.0,22890.0,40683.0,5247.0,23737.0,12724.0,26743.0,18868.0,25419.0
"Caldwell County, Missouri",24604.0,29,25,2018,12717.0,27165.0,29202.0,,10932.0,9354.0,24561.0,22065.0,24238.0
"Callaway County, Missouri",25998.0,29,27,2018,11757.0,48648.0,16491.0,,2074.0,12044.0,26081.0,20676.0,25069.0
"Cass County, Missouri",31999.0,29,37,2018,38088.0,28748.0,24078.0,30614.0,43169.0,12577.0,32268.0,25999.0,31675.0
"Clinton County, Missouri",28683.0,29,49,2018,25881.0,17142.0,,,24619.0,9561.0,28600.0,29583.0,28216.0
"Cooper County, Missouri",24397.0,29,53,2018,10668.0,27178.0,9481.0,,16941.0,8270.0,24497.0,15734.0,22895.0
"Dallas County, Missouri",22349.0,29,59,2018,,15794.0,34718.0,,22718.0,10290.0,22670.0,7545.0,22096.0
"Gentry County, Missouri",21208.0,29,75,2018,12589.0,19257.0,32938.0,,,4460.0,21336.0,10591.0,21059.0
"Hickory County, Missouri",20958.0,29,85,2018,3522.0,5441.0,,,27480.0,16970.0,20809.0,31517.0,20646.0
"Lincoln County, Missouri",25994.0,29,113,2018,19598.0,33785.0,15975.0,,7324.0,13800.0,26118.0,15124.0,25472.0
"Mississippi County, Missouri",21252.0,29,133,2018,10415.0,15659.0,,,,13233.0,21652.0,4207.0,18462.0
"Monroe County, Missouri",25248.0,29,137,2018,14381.0,,11668.0,,,13134.0,25501.0,11751.0,24625.0
"Newton County, Missouri",27944.0,29,145,2018,18172.0,22742.0,18540.0,9425.0,18699.0,15867.0,28618.0,14909.0,26996.0
"Ozark County, Missouri",19303.0,29,153,2018,,,,,7907.0,7101.0,19389.0,5185.0,18818.0
