NAME,B19202B_001E,state,county,year,B19202C_001E,B19202D_001E,B19202F_001E,B19202G_001E,B19202H_001E,B19202I_001E
"Franklin County, Missouri",22931.0,29,71,2018,2499.0,,32644.0,20405.0,31248.0,33846.0
"Howard County, Missouri",,29,89,2018,,,,,31375.0,
"Jackson County, Missouri",24660.0,29,95,2018,21366.0,33631.0,19149.0,33654.0,39494.0,27350.0
"Miller County, Missouri",,29,131,2018,15833.0,,,8778.0,25139.0,18906.0
"Pulaski County, Missouri",33601.0,29,169,2018,,,35644.0,47003.0,35580.0,34827.0
"Putnam County, Missouri",,29,171,2018,,,,,23750.0,
"Taney County, Missouri",,29,213,2018,15887.0,250001.0,,,24759.0,
"Texas County, Missouri",,29,215,2018,,,,30380.0,19859.0,
"Buchanan County, Missouri",33407.0,29,21,2018,30313.0,,55059.0,22217.0,30412.0,31277.0
"Caldwell County, Missouri",,29,25,2018,,,,48750.0,27542.0,
"Callaway County, Missouri",15427.0,29,27,2018,,46719.0,,29118.0,32367.0,
"Cass County, Missouri",43477.0,29,37,2018,63935.0,,86500.0,22904.0,38018.0,73462.0
"Clinton County, Missouri",16350.0,29,49,2018,,,,,31739.0,
"Cooper County, Missouri",,29,53,2018,,,,9625.0,27583.0,37333.0
"Dallas County, Missouri",,29,59,2018,,,,,25054.0,
"Gentry County, Missouri",,29,75,2018,,,,,21667.0,
"Hickory County, Missouri",,29,85,2018,,,,17500.0,17136.0,63839.0
"Lincoln County, Missouri",26414.0,29,113,2018,,,,,31306.0,
"Mississippi County, Missouri",20313.0,29,133,2018,,,,,20688.0,
"Monroe County, Missouri",18250.0,29,137,2018,,,,43750.0,29831.0,
"Newton County, Missouri",36653.0,29,145,2018,11641.0,,8854.0,17500.0,29665.0,10701.0
"Ozark County, Missouri",,29,153,2018,,,,2499.0,19833.0,48750.0
"Pike County, Missouri",78398.0,29,163,2018,,,,,27532.0,
"St. Charles County, Missouri",34955.0,29,183,2018,,63011.0,,40400.0,43004.0,46287.0
"Custer County, Montana",,30,17,2018,,,,250001.0,31343.0,
"Hill County, Montana",,30,41,2018,17083.0,,,32969.0,30016.0,11250.0
"Powder River County, Montana",,30,75,2018,,,,,33882.0,
"Park County, Montana",,30,67,2018,,,,,31642.0,
"Roosevelt County, Montana",,30,85,2018,17188.0,,,50179.0,41625.0,
"Blaine County, Montana",,30,5,2018,19236.0,,,,28606.0,
"Liberty County, Montana",,30,51,2018,,,,,30216.0,
"Richland County, Montana",,30,83,2018,,,,,36800.0,
"Teton County, Montana",,30,99,2018,,,,36786.0,30343.0,
"Toole County, Montana",,30,101,2018,,,,,23382.0,38333.0
"Fallon County, Montana",,30,25,2018,,,,,31139.0,
"Daniels County, Montana",,30,19,2018,,,,,32258.0,
"Judith Basin County, Montana",,30,45,2018,,,,,28456.0,
"Silver Bow County, Montana",,30,93,2018,,,,26853.0,25547.0,36330.0
"Deer Lodge County, Montana",,30,23,2018,,,,9188.0,27894.0,
"Jefferson County, Montana",,30,43,2018,,,,,37375.0,
"McCone County, Montana",,30,55,2018,,,,,35924.0,
"Wheatland County, Montana",,30,107,2018,,,,,34000.0,
"Rosebud County, Montana",,30,87,2018,25313.0,,,,30203.0,8560.0
"Carter County, Montana",,30,11,2018,,,,,20234.0,
"Dawson County, Montana",,30,21,2018,,,,,39832.0,
"Broadwater County, Montana",,30,7,2018,,,,,39315.0,
"Lake County, Montana",,30,47,2018,17111.0,20893.0,40625.0,31481.0,26230.0,40813.0
"Pondera County, Montana",,30,73,2018,13750.0,,,,31534.0,
"Yellowstone County, Montana",29635.0,30,111,2018,22056.0,72829.0,27083.0,24102.0,35715.0,22478.0
"Ravalli County, Montana",,30,81,2018,26429.0,,,27478.0,24637.0,43790.0
"Valley County, Montana",,30,105,2018,20089.0,,,30000.0,27134.0,
"Fergus County, Montana",,30,27,2018,,,,,30571.0,
"Mineral County, Montana",,30,61,2018,,,,,21645.0,
"Petroleum County, Montana",,30,69,2018,,,,,34250.0,
"Sanders County, Montana",,30,89,2018,13750.0,,,14250.0,24803.0,8413.0
"Flathead County, Montana",,30,29,2018,26522.0,,,32337.0,31580.0,30598.0
"Wibaux County, Montana",,30,109,2018,,,,,23125.0,
"Meagher County, Montana",,30,59,2018,,,,,26726.0,
"Carbon County, Montana",,30,9,2018,,,,20500.0,33175.0,34792.0
"Phillips County, Montana",,30,71,2018,,,,,27312.0,
"Adams County, Nebraska",,31,1,2018,,,26580.0,,29641.0,26648.0
"Lancaster County, Nebraska",27409.0,31,109,2018,,20625.0,25417.0,29447.0,36253.0,40394.0
"Boone County, Nebraska",,31,11,2018,,,,,35521.0,38750.0
"Rock County, Nebraska",,31,149,2018,,,,,35606.0,
"Banner County, Nebraska",,31,7,2018,,,,,21250.0,
"Sherman County, Nebraska",,31,163,2018,,,,,31056.0,
"Richardson County, Nebraska",,31,147,2018,23281.0,,,85804.0,25625.0,
"Howard County, Nebraska",,31,93,2018,,,,,32050.0,28438.0
"Holt County, Nebraska",,31,89,2018,,,,,26582.0,
"Furnas County, Nebraska",,31,65,2018,,,,,25655.0,25694.0
"Gosper County, Nebraska",,31,73,2018,,,,,34500.0,
"Saline County, Nebraska",,31,151,2018,,,,,29474.0,53798.0
"Sarpy County, Nebraska",40518.0,31,153,2018,,28462.0,45950.0,34594.0,44607.0,45738.0
"Thurston County, Nebraska",,31,173,2018,15000.0,2499.0,,17813.0,34896.0,
"Washington County, Nebraska",,31,177,2018,,,,,40057.0,132933.0
"Boyd County, Nebraska",,31,15,2018,,,,,21406.0,
"Cherry County, Nebraska",,31,31,2018,,,,30125.0,30379.0,
"Dodge County, Nebraska",2499.0,31,53,2018,,,,33125.0,30840.0,12857.0
"Fillmore County, Nebraska",,31,59,2018,,,,,29221.0,
"Garden County, Nebraska",,31,69,2018,,,,,29853.0,
"Hooker County, Nebraska",,31,91,2018,,,,,31250.0,
"Morrill County, Nebraska",,31,123,2018,,,,40357.0,31016.0,30000.0
"Nemaha County, Nebraska",,31,127,2018,,,,45500.0,30016.0,
"Seward County, Nebraska",,31,159,2018,,,,,34609.0,
"Thomas County, Nebraska",,31,171,2018,,,,,26042.0,
"Dakota County, Nebraska",,31,43,2018,,49004.0,,,29137.0,36850.0
"Webster County, Nebraska",,31,181,2018,,,,,22569.0,
"Antelope County, Nebraska",,31,3,2018,,,,,26667.0,
"Butler County, Nebraska",,31,23,2018,,,,,35227.0,
"Clay County, Nebraska",,31,35,2018,,,,,32750.0,41250.0
"Custer County, Nebraska",,31,41,2018,,,,,30460.0,
"Gage County, Nebraska",,31,67,2018,,,,,30015.0,68000.0
"Hamilton County, Nebraska",,31,81,2018,,,,,35714.0,
"Kearney County, Nebraska",,31,99,2018,,,,,31920.0,26458.0
"Keith County, Nebraska",,31,101,2018,,,,,25443.0,22500.0
"Madison County, Nebraska",,31,119,2018,30000.0,,26750.0,17375.0,30256.0,27338.0
"Perkins County, Nebraska",,31,135,2018,,,,,26824.0,
"Saunders County, Nebraska",,31,155,2018,,,,,38505.0,42321.0
"Wayne County, Nebraska",,31,179,2018,,,,,27357.0,20985.0
"Keya Paha County, Nebraska",,31,103,2018,,,,,30750.0,
"Knox County, Nebraska",,31,107,2018,14688.0,,,,28284.0,
"Lincoln County, Nebraska",,31,111,2018,,,,,30006.0,26651.0
"Pierce County, Nebraska",,31,139,2018,,,,,29200.0,
"Sioux County, Nebraska",,31,165,2018,,,,,28750.0,
"Cass County, Nebraska",,31,25,2018,,,,,36833.0,
"Dixon County, Nebraska",,31,51,2018,,,,23125.0,26270.0,51458.0
"Dundy County, Nebraska",,31,57,2018,,,,,30781.0,
"Greeley County, Nebraska",,31,77,2018,,,,,27969.0,
"Hall County, Nebraska",29094.0,31,79,2018,,,32969.0,24514.0,34937.0,31808.0
"Otoe County, Nebraska",,31,131,2018,,,,12422.0,32039.0,
"Red Willow County, Nebraska",,31,145,2018,,,,,25317.0,38347.0
"Dawes County, Nebraska",,31,45,2018,,,,,31697.0,
"Cheyenne County, Nebraska",,31,33,2018,13869.0,,,,35643.0,
"Dawson County, Nebraska",35081.0,31,47,2018,,,,,27571.0,35236.0
"Valley County, Nebraska",,31,175,2018,,,,13977.0,23194.0,
"McPherson County, Nebraska",,31,117,2018,,,,,,
"Nance County, Nebraska",,31,125,2018,,,,,22500.0,43235.0
"Stanton County, Nebraska",,31,167,2018,,,,,39323.0,
"Harlan County, Nebraska",,31,83,2018,,,,,32014.0,
"Blaine County, Nebraska",,31,9,2018,,,,,31875.0,
"Buffalo County, Nebraska",52639.0,31,19,2018,,2499.0,26793.0,,31693.0,42725.0
"Deuel County, Nebraska",,31,49,2018,,,,,26000.0,
"Hitchcock County, Nebraska",,31,87,2018,,,,,27426.0,
"Platte County, Nebraska",,31,141,2018,,,,,32206.0,35542.0
"Thayer County, Nebraska",,31,169,2018,,,,,31310.0,
"Box Butte County, Nebraska",,31,13,2018,,,,,31852.0,
"Churchill County, Nevada",118281.0,32,1,2018,26845.0,,,,37173.0,33083.0
"Douglas County, Nevada",,32,5,2018,26484.0,56111.0,70186.0,63362.0,42918.0,32237.0
"Pershing County, Nevada",,32,27,2018,,,,,32625.0,13438.0
"Esmeralda County, Nevada",,32,9,2018,,,,,33333.0,
"Humboldt County, Nevada",,32,13,2018,,,31786.0,,48125.0,32143.0
"Mineral County, Nevada",,32,21,2018,13690.0,,,90278.0,21493.0,2499.0
"White Pine County, Nevada",,32,33,2018,32188.0,,,,41384.0,49643.0
"Elko County, Nevada",,32,7,2018,19830.0,,53902.0,,55668.0,39315.0
"Lincoln County, Nevada",,32,17,2018,,,,,36080.0,
"Nye County, Nevada",45182.0,32,23,2018,19583.0,21369.0,27238.0,29319.0,27994.0,27349.0
"Storey County, Nevada",,32,29,2018,,,,,41800.0,
"Washoe County, Nevada",28828.0,32,31,2018,28964.0,48381.0,30566.0,31403.0,40234.0,34492.0
"Clark County, Nevada",28327.0,32,3,2018,31651.0,38602.0,31318.0,38479.0,41397.0,32829.0
"Carson City, Nevada",24268.0,32,510,2018,48750.0,26649.0,27000.0,45227.0,32658.0,25956.0
"Lyon County, Nevada",23636.0,32,19,2018,18542.0,40673.0,,53021.0,35633.0,35347.0
"Cheshire County, New Hampshire",35739.0,33,5,2018,23796.0,68355.0,,35250.0,34967.0,
"Merrimack County, New Hampshire",,33,13,2018,8641.0,,70341.0,45250.0,38273.0,
"Grafton County, New Hampshire",,33,9,2018,57750.0,43246.0,,19975.0,40449.0,
"Rockingham County, New Hampshire",47596.0,33,15,2018,,38512.0,25587.0,32650.0,50097.0,43409.0
"Belknap County, New Hampshire",,33,1,2018,20714.0,,,,36596.0,56397.0
"Sullivan County, New Hampshire",,33,19,2018,,85795.0,,40972.0,29657.0,
"Hillsborough County, New Hampshire",38097.0,33,11,2018,20573.0,64602.0,73167.0,39556.0,45777.0,31616.0
"Strafford County, New Hampshire",,33,17,2018,,27357.0,,27813.0,38932.0,43402.0
"Coos County, New Hampshire",,33,7,2018,2499.0,,,34531.0,27806.0,34455.0
"Carroll County, New Hampshire",,33,3,2018,,,,20327.0,32757.0,
"Monmouth County, New Jersey",28349.0,34,25,2018,,47833.0,31775.0,22426.0,52174.0,40417.0
