NAME,B23025_001E,state,county,year,B23025_007E,B23025_005E,B23025_004E,B23025_003E,B23025_002E
"Putnam County, Missouri",3846.0,29,171,2018,1763.0,102.0,1981.0,2083.0,2083.0
"Taney County, Missouri",44488.0,29,213,2018,18357.0,1513.0,24618.0,26131.0,26131.0
"Texas County, Missouri",20802.0,29,215,2018,11146.0,870.0,8695.0,9565.0,9656.0
"Buchanan County, Missouri",70848.0,29,21,2018,26575.0,2266.0,41913.0,44179.0,44273.0
"Caldwell County, Missouri",7123.0,29,25,2018,3144.0,100.0,3874.0,3974.0,3979.0
"Callaway County, Missouri",36587.0,29,27,2018,15436.0,701.0,20425.0,21126.0,21151.0
"Cass County, Missouri",80167.0,29,37,2018,27205.0,2281.0,50661.0,52942.0,52962.0
"Clinton County, Missouri",16331.0,29,49,2018,6371.0,494.0,9424.0,9918.0,9960.0
"Cooper County, Missouri",14222.0,29,53,2018,6161.0,378.0,7669.0,8047.0,8061.0
"Dallas County, Missouri",12988.0,29,59,2018,6430.0,335.0,6197.0,6532.0,6558.0
"Gentry County, Missouri",5196.0,29,75,2018,2054.0,112.0,3026.0,3138.0,3142.0
"Hickory County, Missouri",8002.0,29,85,2018,4515.0,228.0,3258.0,3486.0,3487.0
"Lincoln County, Missouri",43049.0,29,113,2018,15541.0,1143.0,26349.0,27492.0,27508.0
"Mississippi County, Missouri",11060.0,29,133,2018,6032.0,374.0,4654.0,5028.0,5028.0
"Monroe County, Missouri",6956.0,29,137,2018,2912.0,157.0,3879.0,4036.0,4044.0
"Newton County, Missouri",45849.0,29,145,2018,17864.0,1114.0,26841.0,27955.0,27985.0
"Ozark County, Missouri",7663.0,29,153,2018,4283.0,241.0,3139.0,3380.0,3380.0
"Pike County, Missouri",14966.0,29,163,2018,7069.0,357.0,7540.0,7897.0,7897.0
"St. Charles County, Missouri",307734.0,29,183,2018,91854.0,7188.0,208527.0,215715.0,215880.0
"Custer County, Montana",9629.0,30,17,2018,3018.0,133.0,6463.0,6596.0,6611.0
"Hill County, Montana",12398.0,30,41,2018,4741.0,482.0,7171.0,7653.0,7657.0
"Powder River County, Montana",1420.0,30,75,2018,442.0,13.0,965.0,978.0,978.0
"Park County, Montana",13620.0,30,67,2018,5032.0,242.0,8327.0,8569.0,8588.0
"Roosevelt County, Montana",7904.0,30,85,2018,3492.0,528.0,3884.0,4412.0,4412.0
"Blaine County, Montana",4919.0,30,5,2018,1880.0,462.0,2577.0,3039.0,3039.0
"Liberty County, Montana",1839.0,30,51,2018,707.0,6.0,1126.0,1132.0,1132.0
"Richland County, Montana",8977.0,30,83,2018,2736.0,151.0,6090.0,6241.0,6241.0
"Teton County, Montana",4784.0,30,99,2018,2061.0,50.0,2661.0,2711.0,2723.0
"Toole County, Montana",4113.0,30,101,2018,1913.0,19.0,2181.0,2200.0,2200.0
"Fallon County, Montana",2239.0,30,25,2018,674.0,35.0,1530.0,1565.0,1565.0
"Daniels County, Montana",1445.0,30,19,2018,555.0,14.0,876.0,890.0,890.0
"Judith Basin County, Montana",1669.0,30,45,2018,652.0,33.0,984.0,1017.0,1017.0
"Silver Bow County, Montana",28512.0,30,93,2018,11243.0,862.0,16396.0,17258.0,17269.0
"Deer Lodge County, Montana",7939.0,30,23,2018,4157.0,115.0,3667.0,3782.0,3782.0
"Jefferson County, Montana",9712.0,30,43,2018,4002.0,275.0,5400.0,5675.0,5710.0
"McCone County, Montana",1310.0,30,55,2018,525.0,2.0,783.0,785.0,785.0
"Wheatland County, Montana",1674.0,30,107,2018,665.0,34.0,975.0,1009.0,1009.0
"Rosebud County, Montana",6926.0,30,87,2018,2704.0,333.0,3883.0,4216.0,4222.0
"Carter County, Montana",1075.0,30,11,2018,418.0,14.0,643.0,657.0,657.0
"Dawson County, Montana",7424.0,30,21,2018,2422.0,74.0,4928.0,5002.0,5002.0
"Broadwater County, Montana",4865.0,30,7,2018,2003.0,176.0,2686.0,2862.0,2862.0
"Lake County, Montana",23377.0,30,47,2018,10276.0,794.0,12300.0,13094.0,13101.0
"Pondera County, Montana",4678.0,30,73,2018,1928.0,190.0,2560.0,2750.0,2750.0
"Yellowstone County, Montana",124423.0,30,111,2018,40595.0,2867.0,80736.0,83603.0,83828.0
"Ravalli County, Montana",34589.0,30,81,2018,15449.0,1130.0,18010.0,19140.0,19140.0
"Valley County, Montana",6113.0,30,105,2018,2080.0,225.0,3808.0,4033.0,4033.0
"Fergus County, Montana",9201.0,30,27,2018,3329.0,137.0,5735.0,5872.0,5872.0
"Mineral County, Montana",3580.0,30,61,2018,1857.0,115.0,1583.0,1698.0,1723.0
"Petroleum County, Montana",356.0,30,69,2018,121.0,7.0,228.0,235.0,235.0
"Sanders County, Montana",9652.0,30,89,2018,5230.0,373.0,4049.0,4422.0,4422.0
"Flathead County, Montana",78765.0,30,29,2018,29575.0,1833.0,47354.0,49187.0,49190.0
"Wibaux County, Montana",880.0,30,109,2018,301.0,12.0,567.0,579.0,579.0
"Meagher County, Montana",1624.0,30,59,2018,627.0,17.0,980.0,997.0,997.0
"Carbon County, Montana",8881.0,30,9,2018,3447.0,200.0,5208.0,5408.0,5434.0
"Phillips County, Montana",3241.0,30,71,2018,1391.0,127.0,1723.0,1850.0,1850.0
"Adams County, Nebraska",24988.0,31,1,2018,8494.0,545.0,15946.0,16491.0,16494.0
"Lancaster County, Nebraska",245961.0,31,109,2018,69937.0,5979.0,169556.0,175535.0,176024.0
"Boone County, Nebraska",4222.0,31,11,2018,1310.0,49.0,2862.0,2911.0,2912.0
"Rock County, Nebraska",1140.0,31,149,2018,381.0,3.0,752.0,755.0,759.0
"Banner County, Nebraska",559.0,31,7,2018,149.0,5.0,405.0,410.0,410.0
"Sherman County, Nebraska",2497.0,31,163,2018,929.0,28.0,1536.0,1564.0,1568.0
"Richardson County, Nebraska",6539.0,31,147,2018,2387.0,142.0,4010.0,4152.0,4152.0
"Howard County, Nebraska",5023.0,31,93,2018,1580.0,112.0,3331.0,3443.0,3443.0
"Holt County, Nebraska",7948.0,31,89,2018,2227.0,62.0,5655.0,5717.0,5721.0
"Furnas County, Nebraska",3870.0,31,65,2018,1434.0,52.0,2384.0,2436.0,2436.0
"Gosper County, Nebraska",1677.0,31,73,2018,543.0,33.0,1101.0,1134.0,1134.0
"Saline County, Nebraska",11017.0,31,151,2018,3706.0,226.0,7085.0,7311.0,7311.0
"Sarpy County, Nebraska",134025.0,31,153,2018,33740.0,2937.0,93923.0,96860.0,100285.0
"Thurston County, Nebraska",4859.0,31,173,2018,1756.0,465.0,2635.0,3100.0,3103.0
"Washington County, Nebraska",15913.0,31,177,2018,5264.0,254.0,10380.0,10634.0,10649.0
"Boyd County, Nebraska",1671.0,31,15,2018,654.0,15.0,1002.0,1017.0,1017.0
"Cherry County, Nebraska",4676.0,31,31,2018,1451.0,52.0,3173.0,3225.0,3225.0
"Dodge County, Nebraska",28827.0,31,53,2018,9195.0,908.0,18723.0,19631.0,19632.0
"Fillmore County, Nebraska",4591.0,31,59,2018,1716.0,59.0,2811.0,2870.0,2875.0
"Garden County, Nebraska",1534.0,31,69,2018,641.0,12.0,865.0,877.0,893.0
"Hooker County, Nebraska",595.0,31,91,2018,312.0,1.0,282.0,283.0,283.0
"Morrill County, Nebraska",3810.0,31,123,2018,1284.0,140.0,2382.0,2522.0,2526.0
"Nemaha County, Nebraska",5724.0,31,127,2018,2160.0,159.0,3401.0,3560.0,3564.0
"Seward County, Nebraska",13574.0,31,159,2018,4434.0,190.0,8947.0,9137.0,9140.0
"Thomas County, Nebraska",526.0,31,171,2018,164.0,6.0,356.0,362.0,362.0
"Dakota County, Nebraska",15005.0,31,43,2018,4142.0,582.0,10275.0,10857.0,10863.0
"Webster County, Nebraska",2816.0,31,181,2018,1040.0,42.0,1734.0,1776.0,1776.0
"Antelope County, Nebraska",5078.0,31,3,2018,1777.0,65.0,3232.0,3297.0,3301.0
"Butler County, Nebraska",6438.0,31,23,2018,2114.0,136.0,4187.0,4323.0,4324.0
"Clay County, Nebraska",4888.0,31,35,2018,1753.0,112.0,3023.0,3135.0,3135.0
"Custer County, Nebraska",8564.0,31,41,2018,2881.0,165.0,5517.0,5682.0,5683.0
"Gage County, Nebraska",17341.0,31,67,2018,5942.0,383.0,11016.0,11399.0,11399.0
"Hamilton County, Nebraska",7300.0,31,81,2018,2293.0,123.0,4880.0,5003.0,5007.0
"Kearney County, Nebraska",5125.0,31,99,2018,1605.0,100.0,3420.0,3520.0,3520.0
"Keith County, Nebraska",6658.0,31,101,2018,2356.0,160.0,4142.0,4302.0,4302.0
"Madison County, Nebraska",27089.0,31,119,2018,7984.0,575.0,18521.0,19096.0,19105.0
"Perkins County, Nebraska",2266.0,31,135,2018,752.0,17.0,1497.0,1514.0,1514.0
"Saunders County, Nebraska",16375.0,31,155,2018,5152.0,271.0,10935.0,11206.0,11223.0
"Wayne County, Nebraska",7711.0,31,179,2018,2142.0,105.0,5464.0,5569.0,5569.0
"Keya Paha County, Nebraska",639.0,31,103,2018,182.0,0.0,457.0,457.0,457.0
"Knox County, Nebraska",6713.0,31,107,2018,2323.0,139.0,4249.0,4388.0,4390.0
"Lincoln County, Nebraska",27814.0,31,111,2018,10068.0,483.0,17242.0,17725.0,17746.0
"Pierce County, Nebraska",5609.0,31,139,2018,1729.0,91.0,3787.0,3878.0,3880.0
"Sioux County, Nebraska",1008.0,31,165,2018,343.0,7.0,658.0,665.0,665.0
"Cass County, Nebraska",20159.0,31,25,2018,6396.0,405.0,13225.0,13630.0,13763.0
"Dixon County, Nebraska",4464.0,31,51,2018,1423.0,100.0,2941.0,3041.0,3041.0
"Dundy County, Nebraska",1525.0,31,57,2018,571.0,15.0,939.0,954.0,954.0
"Greeley County, Nebraska",1915.0,31,77,2018,708.0,17.0,1190.0,1207.0,1207.0
"Hall County, Nebraska",46402.0,31,79,2018,13469.0,1481.0,31413.0,32894.0,32933.0
"Otoe County, Nebraska",12495.0,31,131,2018,4028.0,234.0,8223.0,8457.0,8467.0
"Red Willow County, Nebraska",8687.0,31,145,2018,2772.0,188.0,5727.0,5915.0,5915.0
"Dawes County, Nebraska",7508.0,31,45,2018,2861.0,56.0,4587.0,4643.0,4647.0
"Cheyenne County, Nebraska",7732.0,31,33,2018,2225.0,153.0,5354.0,5507.0,5507.0
"Dawson County, Nebraska",18083.0,31,47,2018,5407.0,471.0,12194.0,12665.0,12676.0
"Valley County, Nebraska",3368.0,31,175,2018,1115.0,39.0,2214.0,2253.0,2253.0
"McPherson County, Nebraska",364.0,31,117,2018,142.0,0.0,222.0,222.0,222.0
"Nance County, Nebraska",2854.0,31,125,2018,1034.0,60.0,1760.0,1820.0,1820.0
"Stanton County, Nebraska",4640.0,31,167,2018,1350.0,95.0,3191.0,3286.0,3290.0
