NAME,B17015_038E,state,county,year
"Churchill County, Nevada",362.0,32,1,2018
"Douglas County, Nevada",694.0,32,5,2018
"Pershing County, Nevada",99.0,32,27,2018
"Esmeralda County, Nevada",11.0,32,9,2018
"Humboldt County, Nevada",267.0,32,13,2018
"Mineral County, Nevada",103.0,32,21,2018
"White Pine County, Nevada",83.0,32,33,2018
"Elko County, Nevada",913.0,32,7,2018
"Lincoln County, Nevada",11.0,32,17,2018
"Nye County, Nevada",449.0,32,23,2018
"Storey County, Nevada",20.0,32,29,2018
"Washoe County, Nevada",6367.0,32,31,2018
"Clark County, Nevada",36377.0,32,3,2018
"Carson City, Nevada",992.0,32,510,2018
"Lyon County, Nevada",792.0,32,19,2018
"Cheshire County, New Hampshire",945.0,33,5,2018
"Merrimack County, New Hampshire",1715.0,33,13,2018
"Grafton County, New Hampshire",976.0,33,9,2018
"Rockingham County, New Hampshire",4104.0,33,15,2018
"Belknap County, New Hampshire",515.0,33,1,2018
"Sullivan County, New Hampshire",593.0,33,19,2018
"Hillsborough County, New Hampshire",5072.0,33,11,2018
"Strafford County, New Hampshire",1514.0,33,17,2018
"Coos County, New Hampshire",296.0,33,7,2018
"Carroll County, New Hampshire",703.0,33,3,2018
"Monmouth County, New Jersey",5895.0,34,25,2018
"Sussex County, New Jersey",1464.0,34,37,2018
"Cumberland County, New Jersey",2318.0,34,11,2018
"Essex County, New Jersey",10489.0,34,13,2018
"Ocean County, New Jersey",5365.0,34,29,2018
"Gloucester County, New Jersey",3265.0,34,15,2018
"Salem County, New Jersey",578.0,34,33,2018
"Passaic County, New Jersey",6386.0,34,31,2018
"Camden County, New Jersey",6159.0,34,7,2018
"Bergen County, New Jersey",9430.0,34,3,2018
"Warren County, New Jersey",1506.0,34,41,2018
"Hudson County, New Jersey",11330.0,34,17,2018
"Burlington County, New Jersey",4927.0,34,5,2018
"Morris County, New Jersey",4432.0,34,27,2018
"Rio Arriba County, New Mexico",,35,39,2018
"San Miguel County, New Mexico",467.0,35,47,2018
"Torrance County, New Mexico",41.0,35,57,2018
"Otero County, New Mexico",361.0,35,35,2018
"Cibola County, New Mexico",450.0,35,6,2018
"Guadalupe County, New Mexico",39.0,35,19,2018
"Catron County, New Mexico",14.0,35,3,2018
"Grant County, New Mexico",207.0,35,17,2018
"Luna County, New Mexico",193.0,35,29,2018
"McKinley County, New Mexico",695.0,35,31,2018
"Taos County, New Mexico",509.0,35,55,2018
"Colfax County, New Mexico",166.0,35,7,2018
"Eddy County, New Mexico",1127.0,35,15,2018
