NAME,B19113A_001E,state,county,year,B19113B_001E,B19113C_001E,B19113D_001E,B19113E_001E,B19113F_001E,B19113G_001E,B19113H_001E
"Hill County, Montana",64432.0,30,41,2018,,31267.0,,,,66458.0,64498.0
"Powder River County, Montana",60260.0,30,75,2018,,,,,,,60000.0
"Park County, Montana",71934.0,30,67,2018,,,,,95375.0,,71779.0
"Roosevelt County, Montana",84671.0,30,85,2018,,33000.0,,,,67273.0,84934.0
"Blaine County, Montana",58966.0,30,5,2018,,35469.0,,,59583.0,36382.0,59095.0
"Liberty County, Montana",62904.0,30,51,2018,,,,,,,62574.0
"Richland County, Montana",80500.0,30,83,2018,,86151.0,,,,65362.0,81625.0
"Teton County, Montana",62463.0,30,99,2018,,193125.0,,,,103438.0,62865.0
"Toole County, Montana",63581.0,30,101,2018,,,,,,,63008.0
"Fallon County, Montana",81326.0,30,25,2018,,,,,,,82273.0
"Daniels County, Montana",70150.0,30,19,2018,,,,,,,71000.0
"Judith Basin County, Montana",59750.0,30,45,2018,,,,,,,59950.0
"Silver Bow County, Montana",59023.0,30,93,2018,,8825.0,,,,,60619.0
"Deer Lodge County, Montana",55048.0,30,23,2018,,,,,,,55160.0
"Jefferson County, Montana",80880.0,30,43,2018,,,,,,67500.0,80957.0
"McCone County, Montana",59500.0,30,55,2018,,,,,,,59700.0
"Wheatland County, Montana",45868.0,30,107,2018,,,,,,,45972.0
"Rosebud County, Montana",76979.0,30,87,2018,,40000.0,,,,86667.0,75625.0
"Carter County, Montana",63333.0,30,11,2018,,,,,,,63333.0
"Dawson County, Montana",75795.0,30,21,2018,,,,,,,77102.0
"Broadwater County, Montana",68801.0,30,7,2018,,,,,,,68851.0
"Lake County, Montana",62184.0,30,47,2018,,38003.0,61012.0,,58864.0,45417.0,62500.0
"Pondera County, Montana",69063.0,30,73,2018,,38333.0,,,,,69219.0
"Yellowstone County, Montana",76023.0,30,111,2018,,51838.0,95979.0,,74211.0,56818.0,76329.0
"Ravalli County, Montana",63416.0,30,81,2018,,,,,,55897.0,63869.0
"Valley County, Montana",68958.0,30,105,2018,,45433.0,,,,57500.0,69115.0
"Fergus County, Montana",57872.0,30,27,2018,,,,,,85962.0,57796.0
"Mineral County, Montana",50688.0,30,61,2018,,,,,,53125.0,50688.0
"Petroleum County, Montana",62500.0,30,69,2018,,,,,,,62500.0
"Sanders County, Montana",44145.0,30,89,2018,,52000.0,71250.0,,,64063.0,44178.0
"Flathead County, Montana",66275.0,30,29,2018,,67318.0,105402.0,,93769.0,41316.0,66623.0
"Wibaux County, Montana",53021.0,30,109,2018,,,,,,,54167.0
"Meagher County, Montana",50688.0,30,59,2018,,,,,,,50688.0
"Carbon County, Montana",73125.0,30,9,2018,,120972.0,,,,93571.0,72339.0
"Phillips County, Montana",61552.0,30,71,2018,,58571.0,,,,40625.0,61810.0
"Adams County, Nebraska",69534.0,31,1,2018,,,41902.0,,46927.0,,70669.0
"Lancaster County, Nebraska",81388.0,31,109,2018,35739.0,51500.0,69028.0,,36927.0,37917.0,83409.0
"Boone County, Nebraska",69231.0,31,11,2018,,,,,,,69231.0
"Rock County, Nebraska",65250.0,31,149,2018,,,,,,,65250.0
"Banner County, Nebraska",64545.0,31,7,2018,,,,,,,65481.0
"Sherman County, Nebraska",69120.0,31,163,2018,,,,,70250.0,45833.0,70152.0
"Richardson County, Nebraska",64055.0,31,147,2018,,43333.0,,,,55765.0,62099.0
"Howard County, Nebraska",71824.0,31,93,2018,,,,,68690.0,,71824.0
"Holt County, Nebraska",71377.0,31,89,2018,,40625.0,,,,,72604.0
"Furnas County, Nebraska",62964.0,31,65,2018,,,,,,,63512.0
"Gosper County, Nebraska",82054.0,31,73,2018,,,,,,,83224.0
"Saline County, Nebraska",62652.0,31,151,2018,,,63800.0,,42634.0,49071.0,73120.0
"Sarpy County, Nebraska",94132.0,31,153,2018,89542.0,96250.0,92746.0,83224.0,65795.0,68625.0,97415.0
"Thurston County, Nebraska",72083.0,31,173,2018,,39821.0,40000.0,,,,73300.0
"Washington County, Nebraska",86402.0,31,177,2018,55729.0,,,,,83750.0,86905.0
"Boyd County, Nebraska",65000.0,31,15,2018,,,,,,,65000.0
"Cherry County, Nebraska",63168.0,31,31,2018,,33177.0,,,,,62979.0
"Dodge County, Nebraska",63247.0,31,53,2018,,35737.0,,,46296.0,37038.0,66419.0
"Fillmore County, Nebraska",76389.0,31,59,2018,,,,,,,78261.0
"Garden County, Nebraska",64044.0,31,69,2018,,,,,,,59375.0
"Hooker County, Nebraska",59167.0,31,91,2018,,,,,,,59167.0
"Morrill County, Nebraska",58419.0,31,123,2018,,,,,44792.0,,62632.0
"Nemaha County, Nebraska",66639.0,31,127,2018,,,,,,,66844.0
"Seward County, Nebraska",83530.0,31,159,2018,,,,,57969.0,80978.0,83132.0
"Thomas County, Nebraska",75795.0,31,171,2018,,,,,,,75795.0
"Dakota County, Nebraska",68116.0,31,43,2018,54737.0,2499.0,,,54950.0,51532.0,68510.0
"Webster County, Nebraska",61726.0,31,181,2018,,,,,,47500.0,61845.0
"Antelope County, Nebraska",61635.0,31,3,2018,,,,,41250.0,,62404.0
"Butler County, Nebraska",67878.0,31,23,2018,,,,,77250.0,,68423.0
"Clay County, Nebraska",70089.0,31,35,2018,,,,,69375.0,,71563.0
"Custer County, Nebraska",56369.0,31,41,2018,,,,,,43507.0,57740.0
"Gage County, Nebraska",69402.0,31,67,2018,,,50714.0,,,,69457.0
"Hamilton County, Nebraska",78214.0,31,81,2018,,,,,,39191.0,78324.0
"Kearney County, Nebraska",76899.0,31,99,2018,,,,,,,77110.0
"Keith County, Nebraska",63934.0,31,101,2018,,,,,,,64467.0
"Madison County, Nebraska",70830.0,31,119,2018,43355.0,20921.0,68764.0,,51471.0,32500.0,72351.0
"Perkins County, Nebraska",76979.0,31,135,2018,,,,,,,77670.0
"Saunders County, Nebraska",80423.0,31,155,2018,,,,,,,80827.0
"Wayne County, Nebraska",77983.0,31,179,2018,,,,,,,79583.0
"Keya Paha County, Nebraska",55250.0,31,103,2018,,,,,,,55250.0
"Knox County, Nebraska",67750.0,31,107,2018,,36250.0,,,,,68075.0
"Lincoln County, Nebraska",73311.0,31,111,2018,,,,,,77679.0,76989.0
"Pierce County, Nebraska",71300.0,31,139,2018,,,,,,,71300.0
"Sioux County, Nebraska",51042.0,31,165,2018,,,,,,,51458.0
"Cass County, Nebraska",86160.0,31,25,2018,,,86667.0,,175795.0,86786.0,86481.0
"Dixon County, Nebraska",67161.0,31,51,2018,,,,,120489.0,,68417.0
"Dundy County, Nebraska",59167.0,31,57,2018,,,,,,,67426.0
"Greeley County, Nebraska",60455.0,31,77,2018,,,,,,,60682.0
"Hall County, Nebraska",67968.0,31,79,2018,31645.0,49559.0,89107.0,,39442.0,55481.0,75004.0
"Otoe County, Nebraska",73596.0,31,131,2018,,36250.0,,,53625.0,,74308.0
"Red Willow County, Nebraska",57204.0,31,145,2018,,,,,,,57946.0
"Dawes County, Nebraska",67577.0,31,45,2018,,,,,,43250.0,66644.0
"Cheyenne County, Nebraska",77651.0,31,33,2018,,,,,,,78424.0
"Dawson County, Nebraska",63580.0,31,47,2018,,,,,34563.0,,70714.0
"Valley County, Nebraska",69744.0,31,175,2018,,,,,,,69602.0
"McPherson County, Nebraska",69250.0,31,117,2018,,,,,,,70000.0
"Nance County, Nebraska",59342.0,31,125,2018,,,,,,,59408.0
"Stanton County, Nebraska",75389.0,31,167,2018,67875.0,,,,,,75169.0
"Harlan County, Nebraska",64612.0,31,83,2018,,,,,,,65625.0
"Blaine County, Nebraska",54732.0,31,9,2018,,,,,,,54732.0
"Buffalo County, Nebraska",79362.0,31,19,2018,,,74097.0,,54137.0,43036.0,80602.0
"Deuel County, Nebraska",59792.0,31,49,2018,,41136.0,,,,,61359.0
"Hitchcock County, Nebraska",56625.0,31,87,2018,,,,,,,57000.0
"Platte County, Nebraska",78554.0,31,141,2018,,,,,80519.0,,82620.0
"Thayer County, Nebraska",64756.0,31,169,2018,,,,,,87596.0,64878.0
"Box Butte County, Nebraska",73214.0,31,13,2018,,,,,111023.0,,73144.0
"Churchill County, Nevada",74263.0,32,1,2018,,41058.0,,,2499.0,45078.0,74961.0
"Douglas County, Nevada",76735.0,32,5,2018,50417.0,36766.0,52031.0,50938.0,37241.0,64219.0,78156.0
"Pershing County, Nevada",62647.0,32,27,2018,,31250.0,,,,,61379.0
"Esmeralda County, Nevada",44167.0,32,9,2018,,,,,,,58750.0
"Humboldt County, Nevada",81190.0,32,13,2018,,29688.0,78482.0,,64000.0,135865.0,87701.0
"Mineral County, Nevada",59167.0,32,21,2018,,30104.0,,,,44000.0,58241.0
"White Pine County, Nevada",74180.0,32,33,2018,,39464.0,,,2499.0,,73000.0
"Elko County, Nevada",91360.0,32,7,2018,29141.0,54904.0,88333.0,,67639.0,78750.0,95507.0
"Lincoln County, Nevada",64278.0,32,17,2018,,,,,,,64278.0
"Nye County, Nevada",57283.0,32,23,2018,45313.0,44063.0,54181.0,,55742.0,54216.0,56935.0
"Storey County, Nevada",69952.0,32,29,2018,,,,,,61000.0,70766.0
"Washoe County, Nevada",78998.0,32,31,2018,56056.0,59213.0,74763.0,64844.0,50807.0,68011.0,85694.0
"Clark County, Nevada",73629.0,32,3,2018,48540.0,52184.0,74589.0,68196.0,47304.0,66322.0,80696.0
"Carson City, Nevada",71535.0,32,510,2018,,50486.0,91080.0,,46296.0,70121.0,74469.0
"Lyon County, Nevada",66910.0,32,19,2018,92936.0,32574.0,69444.0,158405.0,,52543.0,67624.0
"Cheshire County, New Hampshire",80196.0,33,5,2018,37625.0,58281.0,84451.0,,31532.0,73792.0,80449.0
"Merrimack County, New Hampshire",90552.0,33,13,2018,63958.0,,76650.0,,90938.0,63750.0,90604.0
"Grafton County, New Hampshire",80510.0,33,9,2018,84457.0,50613.0,93672.0,161250.0,46071.0,100673.0,80550.0
"Rockingham County, New Hampshire",108296.0,33,15,2018,104231.0,85347.0,101915.0,,,87214.0,108349.0
"Belknap County, New Hampshire",83020.0,33,1,2018,,,66923.0,,,,83041.0
"Sullivan County, New Hampshire",74875.0,33,19,2018,,,58798.0,,,,75201.0
